,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01
postings_seen|NE,5469.0,2090.0,2739.0,2172.0,2462.0,2352.0,2512.0,2783.0,2389.0,1944.0,3702.0,2500.0,2239.0,2868.0,1829.0,1690.0,2093.0,1929.0,2296.0,2004.0,1848.0,2200.0,2049.0,1978.0,2030.0,1471.0,2559.0,1713.0,1803.0,854.0,5919.0,2648.0,2603.0,2371.0,2801.0,2301.0,2481.0,943.0,2942.0,2445.0,2108.0,2744.0,2318.0,2602.0,2359.0,2587.0,2671.0,2226.0,2365.0,2185.0,1830.0,2013.0,1575.0,944.0,2188.0,1651.0,2510.0,1895.0,3474.0,781.0,2885.0,2661.0,3178.0,2916.0,2623.0,6970.0,3495.0,2555.0,1518.0,3645.0,4510.0,4273.0,4864.0,7117.0,3720.0,5467.0,6522.0,7299.0,9550.0,7486.0,6803.0,6767.0,7254.0,7832.0,7620.0,5989.0,6244.0,7244.0,5180.0,5907.0,5028.0,4923.0,4889.0,4224.0,5189.0,4433.0,4276.0,3853.0,3650.0,3771.0,4653.0,4070.0,4031.0,4657.0,3769.0,3857.0,3517.0,3686.0,4247.0,3758.0,3061.0,4018.0,3678.0,3850.0,4977.0,4604.0,3593.0,4037.0
postings_seen|NH,3829.0,1774.0,2357.0,1916.0,2265.0,2058.0,2257.0,2392.0,2036.0,1456.0,3948.0,2645.0,2247.0,2790.0,2251.0,2464.0,2482.0,2523.0,3105.0,2873.0,2826.0,3128.0,3099.0,5715.0,2044.0,1425.0,2377.0,1264.0,1298.0,564.0,4612.0,1764.0,1628.0,1847.0,2141.0,1623.0,1719.0,813.0,2119.0,1688.0,1329.0,1982.0,1680.0,1960.0,1873.0,1735.0,1913.0,1507.0,1760.0,1727.0,1403.0,1618.0,1303.0,692.0,1787.0,1097.0,1534.0,1531.0,2685.0,638.0,2365.0,2540.0,2377.0,2884.0,2368.0,5907.0,3024.0,2126.0,984.0,3212.0,3051.0,3232.0,3834.0,4972.0,2834.0,4211.0,5491.0,6075.0,7499.0,5521.0,6251.0,5320.0,5314.0,6194.0,5980.0,4992.0,5110.0,4560.0,5172.0,4646.0,4489.0,4196.0,4002.0,3846.0,4464.0,3719.0,3637.0,3674.0,3534.0,3514.0,3822.0,3651.0,3736.0,3927.0,3474.0,3380.0,3187.0,3126.0,3702.0,2963.0,2715.0,3375.0,2964.0,3574.0,3982.0,3785.0,3890.0,3762.0
postings_seen|NJ,27254.0,10349.0,13193.0,10679.0,12875.0,11952.0,12185.0,14886.0,13164.0,13409.0,13577.0,14091.0,12389.0,14477.0,11067.0,10710.0,10634.0,11149.0,12491.0,13917.0,16209.0,14003.0,15150.0,16664.0,13466.0,10442.0,17235.0,8909.0,8340.0,3173.0,37570.0,14963.0,13816.0,13371.0,14284.0,12797.0,15374.0,5005.0,17393.0,14574.0,11496.0,18093.0,14015.0,14347.0,15691.0,14578.0,15388.0,12495.0,14336.0,12903.0,10414.0,11537.0,9519.0,3973.0,12048.0,8711.0,11339.0,10525.0,18720.0,4574.0,18189.0,16868.0,18858.0,19976.0,17119.0,44440.0,22185.0,14391.0,6656.0,20992.0,21518.0,23193.0,25320.0,31295.0,16281.0,26217.0,27209.0,30123.0,32272.0,30202.0,34018.0,32659.0,34665.0,33329.0,32560.0,27884.0,29380.0,26177.0,24536.0,26324.0,24305.0,22765.0,20598.0,21356.0,26899.0,20720.0,17890.0,16223.0,13666.0,12478.0,15745.0,13095.0,13510.0,15285.0,13373.0,13619.0,13879.0,13720.0,15407.0,13941.0,12453.0,14025.0,13347.0,16176.0,15865.0,16190.0,14416.0,15439.0
postings_seen|NM,8823.0,6032.0,8265.0,8018.0,8283.0,9217.0,4959.0,1799.0,5210.0,7622.0,5343.0,1924.0,1519.0,1954.0,1392.0,1479.0,1719.0,1691.0,1808.0,1381.0,1436.0,1979.0,1847.0,1690.0,1813.0,1377.0,2087.0,1566.0,1395.0,710.0,5602.0,2389.0,2129.0,1960.0,2347.0,1996.0,2265.0,861.0,2332.0,2109.0,1746.0,2604.0,2778.0,2609.0,2226.0,2257.0,2372.0,1778.0,2126.0,2140.0,1578.0,1768.0,1439.0,706.0,1882.0,1516.0,2384.0,1688.0,3077.0,651.0,2669.0,2601.0,2642.0,3075.0,2592.0,6472.0,3077.0,2740.0,1402.0,3658.0,3669.0,3942.0,4372.0,6280.0,2974.0,5135.0,6191.0,6920.0,8640.0,6623.0,6882.0,6323.0,6846.0,7419.0,7382.0,7128.0,6587.0,5481.0,5085.0,5673.0,5194.0,4958.0,4898.0,4788.0,5420.0,4575.0,4100.0,3870.0,3712.0,3912.0,5071.0,3885.0,3841.0,4061.0,3555.0,3558.0,3347.0,3190.0,3842.0,3347.0,2590.0,3430.0,3414.0,3703.0,4113.0,3777.0,3526.0,3753.0
postings_seen|NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,24.0,36.0,40.0,64.0,15.0,45.0,37.0,68.0,78.0,70.0,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postings_seen|NU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,13.0,5.0,1.0,15.0,2.0,2.0,10.0,5.0,3.0,2.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postings_seen|NV,6602.0,2550.0,3632.0,2386.0,3116.0,2839.0,3197.0,3601.0,2698.0,3563.0,2817.0,2974.0,3058.0,3486.0,2497.0,2645.0,2913.0,3008.0,3543.0,3230.0,3267.0,3371.0,3774.0,3947.0,3349.0,2619.0,3640.0,2604.0,2690.0,1202.0,8115.0,3516.0,3526.0,3612.0,3648.0,2672.0,2981.0,1021.0,3605.0,3101.0,2511.0,3207.0,2375.0,2960.0,2506.0,2464.0,2657.0,2133.0,2484.0,2375.0,1977.0,3155.0,2116.0,1133.0,2084.0,1342.0,1690.0,1598.0,3362.0,737.0,2821.0,2680.0,3268.0,3479.0,2874.0,6288.0,3979.0,2767.0,1799.0,3988.0,4316.0,4648.0,5072.0,6625.0,3771.0,5436.0,6756.0,7135.0,9336.0,7451.0,7208.0,7021.0,6828.0,7551.0,7519.0,6011.0,6297.0,5123.0,5426.0,5763.0,5043.0,4749.0,4581.0,4344.0,5390.0,4505.0,4321.0,3946.0,3985.0,3444.0,4181.0,3759.0,4257.0,4607.0,3800.0,4190.0,3671.0,3531.0,4114.0,3208.0,2942.0,3839.0,3335.0,3591.0,3943.0,3715.0,3685.0,3631.0
postings_seen|NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,2.0,,4.0,2.0,3.0,2.0,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postings_seen|NY,43527.0,15141.0,21686.0,16204.0,19399.0,17791.0,17407.0,18354.0,16771.0,16742.0,18903.0,16921.0,16661.0,19329.0,14196.0,15772.0,14535.0,16849.0,20881.0,18322.0,18615.0,17633.0,19322.0,21307.0,18963.0,14724.0,23975.0,14694.0,16307.0,5775.0,53770.0,20556.0,20844.0,19699.0,21877.0,16921.0,21305.0,7509.0,27226.0,21573.0,17782.0,24506.0,20516.0,22788.0,21935.0,21763.0,23676.0,19443.0,21342.0,20486.0,17155.0,18237.0,14543.0,5924.0,19893.0,14346.0,16579.0,16880.0,27458.0,6019.0,21997.0,20432.0,23251.0,25488.0,22474.0,56788.0,32171.0,18474.0,9806.0,31370.0,31484.0,36314.0,37615.0,47825.0,25977.0,38192.0,41851.0,46042.0,47183.0,47913.0,51176.0,49679.0,50430.0,50495.0,51711.0,42845.0,41867.0,35829.0,50554.0,39917.0,38428.0,36639.0,32359.0,35518.0,36369.0,31575.0,27557.0,23712.0,23658.0,24711.0,29496.0,24518.0,28172.0,29417.0,26827.0,24775.0,26267.0,25750.0,29142.0,26018.0,26099.0,24399.0,26366.0,28744.0,27752.0,28235.0,26817.0,27499.0
postings_seen|Ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
