state,Zip,postings_seen
MN,55304,26
TX,77342,26
AK,99703,26
MO,65065,26
WV,26101,26
MN,55077,26
OK,74401,26
NJ,07950,26
GA,30909,26
MO,65270,26
CA,92841,26
MA,02361,26
MI,48124,26
WI,53105,26
FL,33991,26
PA,18202,26
IL,60714,26
NC,28070,26
VA,22202,26
NY,14702,26
MI,48084,26
NY,14513,26
TX,78540,26
IA,50659,26
MI,48066,26
WA,98509,26
NC,28151,26
CA,95691,26
OR,97223,26
MO,64836,26
UT,84720,26
VA,22182,26
MI,48105,26
ME,04843,26
FL,33831,26
PA,17044,26
CA,90707,26
PA,18848,26
MN,55056,26
KS,66701,26
TN,37086,26
WI,54403,26
TN,37814,26
IL,60106,26
OH,45365,26
SD,57350,26
WI,54140,26
NM,87305,26
MI,49544,26
CO,80525,26
WI,53216,26
PA,19608,26
MN,55313,26
MD,20762,26
MT,59404,26
GA,30233,26
WI,53154,26
AL,36830,26
MS,38671,26
NY,10165,26
NM,88221,26
SC,29623,26
MI,48843,26
CO,80601,25
PA,16509,25
MN,56265,25
IL,60010,25
ME,04856,25
GA,30318,25
GA,30362,25
NY,12010,25
MA,01903,25
CO,80221,25
PA,19320,25
IA,52001,25
IL,60093,25
OH,43125,25
MA,02703,25
FL,33608,25
CO,80104,25
WI,53147,25
TX,78401,25
AR,71603,25
CO,80751,25
HI,96860,25
MO,63084,25
FL,34677,25
UT,84097,25
NM,87533,25
NJ,08759,25
MO,64050,25
MO,64772,25
IN,46312,25
IN,46320,25
VA,24402,25
WI,53121,25
AZ,85372,25
MI,48033,25
MS,38606,25
MD,21046,25
NJ,07007,25
VA,20191,25
TX,77010,25
AL,36536,25
MS,39502,25
NH,03431,25
PA,19078,25
PA,15301,25
CA,92033,25
CT,06825,25
VA,23116,25
MN,55802,25
PA,17403,25
OR,97321,25
IA,52761,25
AR,72034,25
WA,99302,25
FL,34986,25
NC,28542,25
OH,45150,25
IL,60901,25
LA,71291,25
NJ,07086,25
AL,35244,25
NJ,07940,25
NJ,08404,25
WV,26506-7900,25
AL,35124,25
KY,42702,25
LA,70001,25
KS,67501,24
TX,78630,24
WA,98072,24
PA,17111,24
OH,43058,24
IN,46060,24
TX,78131,24
MA,02471,24
LA,71315,24
CA,91734,24
MI,49001,24
IL,61611,24
CA,92262,24
KY,40741,24
WV,26505-2730,24
NY,11375,24
GA,30163,24
GA,30153,24
VA,23604,24
MD,20783,24
MA,02038,24
NY,11973,24
AZ,85737,24
AZ,86304,24
OH,44301,24
FL,33014,24
UT,84770,24
GA,30809,24
GA,30680,24
NM,88002,24
TX,77406,24
PA,18840,24
IL,60450,24
PA,18109,24
FL,33898,24
FL,33902,24
UT,84120,24
NJ,07509,24
NJ,07632,24
GA,31069,24
WI,54467,24
NJ,07799,24
CA,92055,24
GA,30326,24
NY,10996,24
VA,23665,24
NE,68776,24
FL,33075,24
OH,44077,24
ME,04609,24
ID,83318,24
CA,94547,24
MN,55434,23
WI,54022,23
MA,01501,23
WA,98531,23
MA,02540,23
NJ,08080,23
WI,54656,23
NJ,07860,23
PA,19456,23
PA,19460,23
PA,16148,23
FL,33523,23
CT,06320,23
OH,43113,23
ID,83605,23
MO,63105,23
KY,41018,23
CA,94587,23
ME,04210,23
WI,54143-2434,23
IL,60142,23
MO,63043,23
NJ,08096,23
WI,54880,23
OR,97062,23
OH,45839,23
CA,95969,23
GA,30076,23
PA,19404,23
OH,45431,23
GA,30180,23
PA,19013,23
ND,58602,23
MS,38652,23
WI,53132-9497,23
ME,04102,23
NY,12801,23
NY,12204,23
NY,10528,23
MO,63141,23
CA,90247,23
VA,20188,23
PA,18640,23
MI,49010,23
WA,99336,23
ND,58104,23
TX,76801,23
MS,39520,23
VA,23114,23
MN,56379,23
GA,30022,22
IN,47240,22
TX,78643,22
NJ,08865,22
NY,13851,22
IA,51250,22
PA,17102,22
MI,48108,22
IN,46556,22
MD,21921,22
IN,46368,22
SD,57301,22
MI,49022,22
TX,76031,22
SC,29340,22
SC,29044,22
NY,10595,22
NC,28504,22
WA,98848,22
PA,18102,22
WI,53715,22
IL,60026,22
IA,50702,22
FL,32773,22
MO,65708,22
MO,65616,22
NV,89018,22
MA,02129,22
PA,19008,22
MA,01772,22
CO,80014,22
WI,53220,22
OH,44282,22
ND,58202,22
MD,21030,22
FL,32964,22
MT,59301,22
NY,11743,22
GA,30144,22
OH,43953,22
OH,44092,22
TX,77002,22
CA,92074,22
CA,91372,22
OR,97035,22
KY,40160,22
NJ,07977,22
OH,44286,22
TX,76063,22
MN,55374,22
GA,31547,22
AL,35960,22
MN,55057,22
NM,87499,22
IL,60134,22
IL,61350,22
ME,04105,22
FL,32541,22
MO,63376,22
AL,35128,22
KY,41048,21
GA,30305,21
GA,31098,21
OH,45701,21
MO,64735,21
SD,57783,21
WA,98520,21
NC,27320,21
MI,49501,21
IN,46135,21
AL,35242,21
WA,98065,21
KY,40066,21
NJ,07801,21
OH,45459,21
OR,97045,21
MI,49829,21
PA,15370,21
AL,35758,21
MI,48307,21
CT,06897,21
AL,36870,21
IL,62205,21
SC,29721,21
NE,68133,21
MA,01742,21
NH,03821,21
NE,69363,21
TX,77515,21
MN,55376,21
IA,50325,21
NY,11582,21
NY,11542,21
OH,43055,21
OK,74464,21
MA,01432,21
CA,95762,21
PA,18062,21
MN,55474,21
FL,34265,21
IN,46410,21
VA,24592,21
TX,78205,21
MT,59904,21
WI,54701,21
MI,49093,21
CT,06770,21
OH,44001,21
ME,04841,21
PA,16146,21
CA,91608,21
IA,52241,21
MT,59703,21
ND,58072,21
CO,80501,21
PA,19047,21
MA,02145,21
MO,63026,21
FL,32925,21
NY,12804,21
CO,80222,21
WI,53094,21
IL,60453,21
CA,93635,21
TX,76180,21
WI,53027,21
NV,89406,21
WI,53959,21
FL,32542,21
MI,48901,21
FL,34995,21
PA,18360,21
CO,80640,21
CA,95903,21
CA,92781,21
NH,03874,21
WI,53792,21
FL,32065,21
MN,55083,21
CA,92674,21
MN,55103,21
OH,43162,21
OH,43230,21
TX,79720,21
PA,15537,21
IA,52722,21
VA,20135,21
MS,38672,21
MA,01915,20
ME,04240,20
NJ,08520,20
GA,31701,20
HI,96861,20
KY,41702,20
IN,47933,20
OR,97058,20
MN,55016,20
IL,62450,20
MI,48331,20
TX,76528,20
TX,76657,20
CT,06074,20
PA,16544,20
OH,43402,20
CA,91702,20
CO,80002,20
MN,55328,20
MN,55309,20
IA,50219,20
WI,53225,20
WI,53221,20
MD,21075,20
ID,83712,20
NY,11701,20
NE,69337,20
NE,68803,20
UT,84015,20
OH,44107,20
VA,23860,20
NY,11724,20
NE,68901,20
PA,15275,20
IA,52404,20
MN,55371,20
NY,11779,20
ND,58601,20
RI,02895,20
TX,75460,20
MA,01731,20
CA,92392,20
MN,55076,20
KS,66214,20
IL,60803,20
NJ,07306,20
WA,98271,20
FL,33569,20
TX,78596,20
GA,30459,20
CO,80907,20
PA,18106,20
OH,44146,20
MI,49085,20
FL,32544,20
OH,45042,20
UT,84651,20
PA,17701,20
SD,57108,20
AL,36203,20
TX,75149,20
UT,84114,20
NY,14048,20
TX,78029,20
IN,47362,20
MT,59718,20
CO,80915,20
OH,43017,20
NC,27204,20
MN,56073,20
PA,17315,20
CO,81506,20
WV,26555,20
CA,94945,19
TN,38088,19
CA,93044,19
CA,93060,19
UT,84016,19
MS,39218,19
TN,37862,19
NE,68661,19
TX,76548,19
TX,76048,19
CO,80026,19
PA,15102,19
AZ,85379,19
UT,84041,19
IA,51054,19
FL,33870,19
NY,14224,19
NY,14095,19
ME,04915,19
FL,34429,19
MI,48083,19
NY,14845,19
NY,11553,19
GA,30354,19
NC,27886,19
MN,56187,19
MN,56011,19
PA,16125,19
AR,72756,19
NY,14502,19
CA,93290,19
IL,60131,19
TN,37388,19
ME,03904,19
TX,78602,19
PA,18902,19
MT,59715,19
ME,04096,19
MN,56479,19
MT,59457,19
OH,44883,19
CT,06877,19
PA,15201,19
MO,63044,19
CA,94035,19
OR,97818,19
OK,74820,19
CO,81082,19
AR,72113,19
AR,72303,19
SC,29907,19
AL,36274,19
MN,55927,19
WI,54143,19
SD,57069,19
OR,97208-0000,19
SD,57702,19
ME,04402,19
AL,35226,19
TN,37075,19
PA,16319,19
MT,59912,19
KS,67042,19
LA,70734,19
CA,90624,19
MO,64504,19
NJ,08852,19
MD,21601,19
GA,30824,19
IL,61356,19
TX,75027,19
CA,92244,19
MS,39744,19
MN,56425,19
ND,58078,19
NY,12866,19
TN,37355,19
WI,54612,19
NJ,08101,19
NJ,07052,19
MI,48120,19
IL,62656,19
GA,30084,19
NY,10589,19
MI,48162,19
ID,83402,19
AL,35071,19
ID,83415,19
MD,20604,18
PA,16101,18
NC,28052,18
PA,17815,18
MN,56082,18
NC,27278,18
WA,98837,18
PA,16201,18
OH,43056,18
TX,78026,18
IL,62959,18
MI,48099,18
MN,55450,18
IL,60175,18
MI,48075,18
NY,11355,18
CO,80045,18
MS,39534,18
UT,84070,18
UT,84078,18
PA,15090,18
CO,80022,18
AK,99505,18
AL,35161,18
MI,48312,18
MI,48308,18
IL,60446,18
NJ,07071,18
PA,15857,18
LA,71270,18
NJ,07207,18
MI,49221,18
MS,38654,18
NJ,07004,18
CA,90061,18
VA,20178,18
ME,04032,18
CT,06066,18
PA,16601,18
ME,04043,18
NH,03860,18
OH,43420,18
MN,56601,18
IL,60559,18
CO,80209,18
VA,22701,18
AZ,85541,18
CO,80132,18
MN,55337,18
MA,01864,18
MN,56560,18
MI,48825,18
OR,97128,18
SC,29652,18
SD,57107,18
AR,72076,18
WI,54313,18
NV,89118,18
NV,89191,18
MN,55411,18
MO,63401,18
WA,98439,18
AR,72654,18
MO,65101,18
TX,77573,18
FL,34611,18
PA,15642,18
FL,32163,18
NJ,08560,18
UT,84068,18
TN,38183,18
IA,52627,18
MI,48180,18
CA,95759,18
MI,48126,18
MA,02135,18
MI,48116,18
PA,19106,18
PA,19128,18
MD,20878,18
MN,56031,18
WV,25801,18
NJ,08002,18
MI,49431,18
NJ,07410,18
GA,31502,18
WY,82901,18
WV,26330,18
MN,55792,18
VT,05302,18
LA,70501,18
MI,49518,18
GA,30901,18
KY,42303,18
WV,26505-4501,18
KS,67357,18
AL,35031,17
OH,45246,17
OH,45377,17
OH,45402,17
MD,21227,17
CA,91016,17
CA,90740,17
FL,32233,17
GA,31023,17
MN,56303,17
MI,48061,17
WI,54952,17
WI,54494,17
MO,63501,17
TN,37066,17
NJ,08077,17
NJ,08084,17
CO,81620,17
MI,49855,17
NJ,08052,17
OK,74802,17
MD,20785,17
PA,19020,17
PA,19107,17
NE,68104,17
NE,68333,17
CO,80223,17
PA,19335,17
PA,19112,17
TX,77474,17
GA,30102,17
MI,48161,17
CA,95971,17
MA,01609,17
NY,13022,17
IN,47167,17
CO,80723,17
MS,38821,17
GA,30656,17
GA,30736,17
CA,90267,17
OR,97331-0000,17
DE,19947,17
ME,04005,17
NV,89822,17
GA,30531,17
NH,03833,17
IA,52040,17
PA,19610,17
NH,03743,17
NY,10573,17
MN,56482,17
ID,83709,17
ID,83843,17
CA,92178,17
CA,92201,17
ME,04473,17
OH,43701,17
OH,44024,17
OH,44012,17
CT,06880,17
VA,23185,17
GA,30165,17
MA,01880,17
MA,01845,17
PA,17801,17
IA,52807,17
OH,45050,17
DC,20005,17
OK,74602,17
IN,46409,17
ME,03909,17
MD,21784,17
TX,75160,17
TX,77480,17
NY,13413,17
AR,72160,17
PA,18940,17
PA,18951,17
MI,48065,17
SD,57049,17
WI,54304-1919,17
WI,54241,17
TN,37121,17
PA,15701,17
WA,98665-9606,17
IL,60191,17
IL,60067,17
VT,05702,17
CO,81657,17
FL,33970,17
FL,33896,17
NY,14534,17
MN,55445,17
MN,55487,17
MN,55439,17
IL,60406,17
NY,14450,17
KS,66027,17
MS,39130,17
CA,92019,17
MI,48310,17
FL,33033,17
IA,52402,17
IA,50401,17
NY,11531,17
GA,30240,17
TX,77081,17
AK,99506,17
GA,31794,17
NJ,07836,16
MN,55008,16
TN,37716,16
CA,95030,16
TN,37343,16
ID,83654,16
UT,84011,16
VA,23836,16
OH,44114,16
GA,30263,16
TN,38027,16
TX,77077,16
TX,77092,16
CA,94565,16
LA,70764,16
LA,70459,16
NJ,07451,16
TX,76574,16
OR,97528,16
OR,97754,16
IL,62306,16
WI,53589,16
TX,77005,16
WI,53744-4971,16
PA,19067,16
TX,77357,16
MI,48192,16
IL,60047,16
PA,19063,16
UT,84067,16
MA,02035,16
AR,72370,16
MI,48226,16
GA,30066,16
OH,44203,16
MD,20747,16
FL,33178,16
MO,63028,16
PA,19530,16
MN,56623,16
MD,20815,16
WI,53405,16
WI,53186,16
CT,06762,16
CT,06804,16
FL,33140,16
AZ,85365,16
MD,21043,16
PA,15205,16
SC,29171,16
SC,29679,16
CA,93930,16
TX,75672,16
CA,95521,16
UT,84601,16
CA,95501,16
TX,75093,16
CO,80914,16
PA,17110,16
MI,49068,16
KS,66211,16
SD,57042,16
IL,61021,16
MN,55092,16
IL,61008,16
OH,45385,16
MI,49316,16
NJ,07702,16
OH,45331,16
AL,35064,16
KY,40324,16
LA,70404,16
LA,70560,16
MI,49783,16
UT,84307,16
IA,51301,16
NY,14103,16
MI,49423,16
NC,27292,16
NC,27289,16
PA,17543,16
MI,48864,16
MA,01507,16
WI,54304-1845,16
CO,80550,16
NY,13039,16
FL,34973,16
NY,13815,16
WI,53149,16
CT,06385,16
OH,43068,16
FL,33541,16
OR,97138,16
PA,15071,16
FL,34761,16
PA,18034,16
PA,17821,16
IL,60473,16
WI,53110,16
WA,99403,16
IL,60467,16
MT,59501,16
CT,06062,16
NY,10977,16
MS,39568,16
NV,89434,16
IA,52556,16
CA,90220,16
VA,22122,16
GA,30329,15
NY,11201,15
CT,06489,15
RI,02865,15
IN,46953,15
CO,80488,15
NY,12524,15
PA,19108,15
CO,80302,15
NY,11777,15
TX,78238,15
NY,13152,15
CO,80233,15
WI,53085,15
WI,53705,15
GA,30458,15
IL,62794,15
ND,58701,15
GA,30117,15
NY,11791,15
VA,23005,15
IL,60525,15
TX,76039,15
FL,32912,15
AZ,85941,15
AZ,85901,15
MN,56573,15
FL,33160,15
ID,83714,15
MN,55378,15
ME,04654,15
TX,76053,15
IL,60601,15
WI,53223-5815,15
WI,53546,15
WI,53547-5002,15
WI,53201-1881,15
TX,77054,15
NJ,08010,15
AK,99702,15
NJ,08810,15
CA,95336,15
MD,21220,15
TN,38402,15
TN,38478,15
HI,96734,15
HI,96744,15
NJ,08205,15
WI,54701-6122,15
AL,35967,15
AL,35801,15
GA,31059,15
MS,39328,15
CA,91390,15
OR,97603,15
PA,19438,15
NJ,08360,15
NJ,08525,15
LA,70571,15
LA,70748,15
TX,77414,15
NJ,07036,15
TX,78573,15
TX,78582,15
TX,78553,15
CA,92324,15
OH,44622,15
PA,19082,15
MA,02722,15
PA,15068,15
OH,43604,15
CA,91723,15
NC,28043,15
FL,34667,15
NY,13669,15
CA,92692,15
IL,61938,15
AL,36264,15
WI,54409,15
SD,57105,15
SC,29465,15
UT,84532,15
MO,64801,15
CA,91403,15
PA,18657,15
GA,30518,15
NH,03894,15
OR,97365,15
MT,59474,15
MT,59330,15
MT,59044,15
IA,50126,15
NY,13788,15
PA,18301,15
FL,33781,15
MA,01060,15
LA,71361,15
GA,31001,15
GA,30906,15
NJ,07073,15
WA,98043,15
AR,72741,15
TX,78380,15
MA,02714,15
NY,14043,15
FL,34451,15
NY,14052,15
FL,34135,15
MI,48098,15
CA,92543,15
TX,78217,15
NC,27513-,15
NJ,07072,15
AL,36265,15
GA,31040,15
MI,48051,15
UT,84121,15
CA,90721,15
IL,61244,15
MI,49331,15
PA,16323,15
PA,16335,15
WI,54221-1450,15
WV,25855,15
LA,70093,15
AL,35023,15
AL,35010,15
KS,67337,15
WI,54911,15
WI,54806,15
KY,42240,15
WY,82801,15
NJ,07901,14
GA,31793,14
IL,61115,14
TN,37303,14
TN,38024,14
TN,38019,14
CA,95961,14
NJ,07511,14
MA,01035,14
MA,01021,14
HI,96766,14
NJ,08562,14
GA,31405,14
CA,95817,14
CA,95642,14
SC,29207,14
PA,19465,14
PA,19468,14
PA,19390,14
MN,55127,14
TX,75261,14
IL,61944,14
MI,49203,14
CO,80237,14
PA,19130,14
PA,19342,14
MI,48393,14
MN,55437,14
MN,55430,14
CO,80534,14
TX,77349,14
TX,76513,14
PA,17257,14
PA,17557,14
CO,81001,14
PA,18018,14
PA,17101,14
MN,55449,14
CT,06001,14
MN,55981,14
GA,30650,14
NV,89154,14
IA,50208,14
AL,36010,14
AL,36251,14
WI,54201,14
KS,66222,14
AL,36068,14
CA,93274,14
CA,92708,14
TX,77489,14
MI,48187,14
IL,62801,14
MI,48134,14
PA,15650,14
PA,16823,14
PA,15825,14
PA,15143,14
PA,15238,14
TX,78201,14
CA,92572,14
MI,48091,14
OR,97124-0000,14
DE,19973,14
OR,97801,14
MI,48015,14
OH,45869,14
MA,01830,14
NH,03561,14
NH,03458,14
NV,89101,14
MA,01420,14
KS,66113,14
OK,74055,14
OH,45662,14
OR,97080,14
UT,84022,14
UT,84032,14
TX,78691,14
ID,83705,14
ID,83647,14
UT,84088,14
OH,45424,14
OH,45371,14
OH,45322,14
MO,64030,14
CA,90638,14
MD,21710,14
CA,90301,14
UT,84602,14
FL,32610,14
IN,46514,14
OH,45005,14
OH,45203,14
MO,65340,14
ID,83221,14
OH,44224,14
MS,38829,14
MS,38701,14
WI,53188,14
MA,02027,14
WI,53295,14
MS,38663,14
MD,21208,14
MD,21162,14
MD,21133,14
OH,43725,14
OH,44130,14
MD,21015,14
MD,20773,14
OH,43137,14
OH,43218,14
OH,43506,14
OH,43062,14
NY,14902,14
MT,59937,14
NY,14616,14
MD,20784,14
AZ,85338,14
IN,47265,14
IN,47150,14
NY,14120,14
MA,02771,14
NY,14075,14
NC,27588,14
NC,28035,14
FL,34749,14
FL,34957,14
NY,13035,14
WA,98801,14
WA,98221,14
AR,72811,14
IN,47421,14
IN,47303,14
GA,30071,14
NE,68410,14
ND,58301,14
NC,28793,14
GA,30087,14
WA,98948,14
WI,53032,14
IN,47546,14
WI,53089,14
WI,53073,14
WI,53050,14
NE,68467,14
KS,67213,14
WV,24901,14
IL,61032,14
TN,37174,14
CA,95348,14
TN,37074,14
WI,54455,14
LA,70094,14
WI,54912,14
AL,35115,14
AL,35121,14
AL,35094,14
KY,41339,14
AL,35056,14
GA,31021,13
MA,02072,13
KY,40353,13
NY,12402,13
NC,28541,13
AL,35950,13
NJ,07407,13
LA,70123,13
LA,70068,13
CA,92312,13
CA,92260,13
TN,37011,13
IL,61081,13
MN,56334,13
IL,60090,13
PA,15456,13
CA,92563,13
MN,56701,13
PA,15203,13
NJ,07647,13
SC,29576,13
NY,11004,13
NH,03247,13
CA,93013,13
SC,29673,13
CT,06360,13
TX,77058,13
PA,15666,13
TX,78229,13
MI,48150,13
NJ,07033,13
KS,66217,13
TX,77546,13
WI,54303-6596,13
PA,17602,13
FL,32063,13
OR,97355,13
TX,78644,13
OK,73036,13
MO,63045,13
NY,10801,13
NY,11026,13
TX,78611,13
NH,03276,13
NY,13778,13
MA,02601,13
MA,02493,13
NC,28374,13
IA,51031,13
GA,30078,13
ND,58401,13
NY,12205,13
NY,12302,13
MA,02125,13
NH,03055,13
GA,30346,13
ND,58504,13
SC,29925,13
GA,30092,13
GA,30705,13
NJ,07058,13
CO,81050,13
CO,80921,13
AL,36266,13
PA,17408,13
FL,32141,13
UT,84010,13
CA,91773,13
MN,56143,13
CA,90651,13
CA,90291,13
CA,90731,13
IN,46361,13
CA,90292,13
CA,90746,13
UT,84124,13
MO,65305,13
IA,52806,13
OH,43078,13
VA,23838,13
CA,95476,13
OH,43213,13
RI,02852-7511,13
CA,95603,13
NY,13601,13
NC,28359,13
PA,17547,13
FL,32703,13
MN,55454,13
TX,76177,13
MI,48336,13
MI,48323,13
OH,44870,13
NE,69361,13
MO,63640,13
ID,83467,13
MO,64701,13
VA,20120,13
GA,30622,13
GA,30577,13
WI,53185,13
MA,02043,13
CA,90091,13
UT,84790,13
MD,21613,13
AZ,86503,13
AZ,86409,13
CA,90078,13
TX,75201,13
AR,72761,13
AZ,85132,13
NY,14701,13
NY,14063,13
MT,59840,13
CO,80863,13
MI,48370,13
MD,21215,13
TX,75116,13
PA,19348,13
TX,75109,13
OH,44121,13
GA,30534,13
KS,66031,13
MS,39047,13
OH,43567,13
OH,43545,13
IA,51601,13
OH,43608,13
MI,49417,13
SC,29325,13
NY,14527,13
GA,30340,13
TN,38059,13
AL,35146,13
MN,55003,13
TN,37072,13
PA,17015,13
TX,75080,13
KY,40356,13
WI,54615,13
WI,54495,13
IL,61462,13
KS,67801,13
AL,35040,13
LA,70302,13
KS,66762,13
LA,70776,13
LA,70665,13
IL,61341,12
LA,71446,12
KS,66839,12
NJ,07424,12
TX,78648,12
CA,92301,12
CA,92278,12
GA,30260,12
NY,11714,12
NC,28704,12
AL,35051,12
NY,12549,12
IA,50037,12
NJ,08204,12
NJ,08066,12
GA,31539,12
OR,97914,12
OR,97838,12
GA,31093,12
MA,01028,12
RI,02915,12
NJ,07201,12
NY,14454,12
IA,50472,12
FL,33563,12
FL,33951,12
IN,46970,12
NY,14895,12
MI,49461,12
IL,60603,12
NY,14467,12
MS,39051,12
VA,22841,12
FL,33443,12
FL,33419,12
KY,41011,12
TX,77030,12
AZ,85658,12
GA,30533,12
IN,47996,12
PA,19101,12
PA,19102,12
IN,46714,12
OH,43950,12
PA,18974,12
AZ,86439,12
MS,39307,12
MS,39121,12
MI,49091,12
MN,55403,12
IN,47112,12
AZ,85131,12
VA,24541,12
CO,80204,12
MI,48442,12
GA,30224,12
NC,27539,12
NC,27528,12
MT,59802,12
FL,32091,12
WI,54110-0157,12
NH,03843,12
PA,15051,12
TX,77541,12
CT,06416,12
AL,35983,12
MI,48067,12
MI,48045,12
MA,02081,12
GA,30060,12
NJ,07008,12
TX,78333,12
TX,78233,12
TX,78216,12
MI,49201,12
TX,75275,12
IA,52411-7754,12
MO,64133,12
MO,64083,12
TX,75951,12
OH,43907,12
NY,13214,12
NY,11356,12
IA,50588,12
GA,30135,12
PA,17022,12
ND,58854,12
NE,68502,12
NY,13748,12
TX,78362,12
TX,78363,12
MI,48047,12
WI,53716,12
WI,53708,12
NH,03452,12
ME,04605,12
IA,50313,12
GA,30542,12
WI,53578-1500,12
IA,52801,12
MO,64850,12
CA,91340,12
PA,18040,12
PA,17067,12
CA,91786,12
TX,78758,12
OK,74502,12
WI,53538,12
AL,36278,12
CA,95531,12
PA,17103,12
OH,45240,12
AR,71854,12
IA,50438,12
NE,69162,12
OH,44212,12
MO,65265,12
NE,68949,12
NY,13820,12
CO,80004,12
CA,93637,12
VA,23851,12
CA,96080,12
PA,19607,12
MN,55325,12
RI,02862,12
MI,48302,12
MI,48203,12
MN,55359,12
SD,57262,12
IA,51442,12
OH,45103,12
AL,36701,12
WI,53203,12
TX,76401,12
UT,84129,12
OH,45212,12
WV,26506,12
WV,25309,12
MI,49738,12
AL,35131,12
NJ,07806,12
TN,37214,12
WI,53014,12
CA,95380,12
AL,35953,12
AL,35954,12
SD,57580,12
MN,55069,12
MN,55811,12
CT,06111,12
CT,06260,12
NJ,08046,12
SD,57007,12
MN,55117,12
MN,56359,12
CT,06443,12
CT,06415,12
CA,92886,12
NJ,07631,12
GA,31415,12
WI,54501,12
TX,77631,12
LA,71110,11
MI,49801,11
MN,56381,11
IL,60014,11
MI,48111,11
CT,06801,11
CT,06450,11
MI,48183,11
TX,77488,11
SC,29488,11
PA,15644,11
PA,16003,11
CT,06405,11
MI,48197,11
CA,93257,11
LA,71458,11
PA,15063,11
CT,06070,11
ID,83725,11
AL,35570,11
MN,55024,11
TN,38372,11
CA,94977,11
TN,37701,11
WV,25177,11
WI,54961,11
WI,54971-0990,11
AL,35218,11
AL,35178,11
AL,35186,11
WI,54868,11
WI,54812,11
IL,60098,11
KY,42445,11
TN,37822,11
CA,94581,11
NJ,07608,11
AL,35805,11
WI,53177,11
UT,84648,11
UT,84501,11
UT,84701,11
ME,04103,11
IA,52233,11
MD,20640,11
MD,20657,11
MD,21902,11
IN,46352,11
TX,76540,11
MN,55354,11
SD,57103,11
MT,59725,11
VA,23301,11
NC,28337,11
MD,20743,11
VT,05403,11
NC,27030,11
PA,17517,11
PA,17522,11
OH,44316,11
GA,30025,11
GA,30015,11
NY,13041,11
PA,18969,11
CO,80909,11
PA,18643,11
PA,18510,11
IL,62565,11
PA,17319,11
PA,18073,11
IA,52802,11
OH,45056,11
OH,44202,11
OH,44241,11
PA,18326,11
FL,33016,11
NY,13403,11
RI,02816,11
IL,60161,11
MN,55903,11
CT,06026,11
NV,89030,11
IA,50009,11
WI,53549,11
AL,36271,11
MA,01540,11
MI,48306,11
PA,17870,11
IL,60188,11
CA,91770,11
UT,84042,11
MN,56283,11
MN,56093,11
MN,56058,11
UT,84044,11
ME,04412,11
ME,04976,11
ME,04769,11
WI,53581,11
TX,78577,11
NC,27529,11
PA,17545,11
PA,17042,11
CA,92223,11
NY,11742,11
IA,51025,11
MA,02584,11
IN,47394,11
CA,95776,11
NE,68352,11
MT,59636,11
MT,59230,11
OH,44070,11
IN,47834,11
MA,01862,11
AL,36872,11
OH,44667,11
OH,43023,11
MI,48763,11
TX,75935,11
TX,75802,11
VA,22124,11
CA,90058,11
FL,33355,11
TX,75098,11
IL,61761,11
CA,94510,11
MI,49519,11
PA,19038,11
IA,51501,11
NC,28031,11
NY,14219,11
MA,02482,11
VT,05452,11
WA,98382,11
MA,02563,11
KS,66502,11
TX,77530,11
TX,78154,11
TX,78102,11
WI,54017,11
TX,78041,11
PA,15061,11
MO,63080,11
MI,48090,11
MI,48081,11
MA,01201,11
AL,36037,11
OK,73099,11
OR,97502,11
MO,63017,11
PA,15024,11
GA,30189,11
NH,03038,11
IA,51201,11
MT,59808-8163,11
MS,39531,11
MI,48430,11
TX,75662,11
MA,02760,11
MS,39301,11
PA,19095,11
IN,46721,11
MD,21040,11
OH,44005,11
TX,77410,11
AZ,85392,11
GA,30601,11
VA,22827,11
MT,59808,11
FL,33462,11
FL,33463,11
OH,43025,11
NY,14424,11
OH,43551,11
WA,99163,11
WI,53115,11
AR,72145,11
WI,54904,11
OR,97132,11
RI,02914,11
HI,96813,11
IL,61455,11
GA,31322,11
GA,31602,11
NY,11717,11
AL,35976,11
AL,35806,11
AL,35072,11
IA,50644,11
KS,67601,11
CA,92270,11
PA,15237,11
AL,35005,11
KY,40484,11
NM,87020,11
HI,96853,10
IL,61264,10
CA,95301,10
TN,37055,10
SD,57741,10
MN,55089,10
WI,54937,10
KY,42502,10
TN,38344,10
CA,94928,10
CA,94949,10
TN,38261,10
CA,95020,10
MI,49931,10
TN,37744,10
WI,54843,10
WI,54758,10
NJ,07866,10
NJ,07834,10
GA,39897,10
AK,99731,10
KY,40165,10
PA,15904,10
PA,15717,10
PA,15632,10
CT,06355,10
TX,77056,10
TX,77042,10
CA,93301,10
TX,77064,10
IN,46036,10
CA,92685,10
TX,77630,10
MN,56352,10
CT,06470,10
PA,15220,10
CT,06525,10
PA,15235,10
OR,97756,10
OR,97850-0000,10
IL,62903,10
MI,48042,10
TX,78061,10
TX,78015,10
KS,66547,10
WI,54220-4939,10
WI,53792-1525,10
IA,50213,10
NJ,07009,10
NJ,00000,10
NM,88211,10
NV,89119,10
PA,17036,10
MA,01775,10
GA,30474,10
GA,30513,10
GA,30364,10
GA,30517,10
GA,30528,10
OH,45822,10
CA,92121,10
UT,84066-6233,10
UT,84105,10
ME,04212,10
IN,46176,10
CA,91793,10
UT,84062,10
UT,84066,10
TX,78945,10
ID,83604,10
ID,83612,10
OR,97031,10
KS,66045,10
