state,Zip,postings_seen
NJ,08057,117
MN,55401,117
CA,93550,117
UT,84057,117
PA,19381,117
VA,22485,117
OH,43085,116
MO,63303,116
UT,84107,116
CA,94701,116
OH,44122,115
CO,80631,115
OH,45069,115
GA,30096,115
MN,55435,115
CA,95015,114
UT,84132,114
NY,13057,114
NC,27536,114
MS,39213,114
OH,44124,114
PA,15108,113
TX,77551,113
NY,10965,113
CA,92662,113
MN,56308,112
NJ,08540,112
MN,55443,112
OR,97331,112
IA,52804,111
NJ,07039,111
ND,58507,111
GA,30342,111
FL,33906,111
CA,95677,111
KS,66102,110
TX,75046,110
TN,37027,109
CA,95404,109
CT,06492,109
NJ,08876,109
MO,65110,108
PA,16066,108
MN,55318,108
GA,31204,108
MA,02421,107
IN,47734,107
OH,45430,106
PA,17055,106
GA,30032,105
MN,55379,105
PA,19154,105
GA,30169,105
AR,72702,105
AR,72401,104
VA,20167,104
GA,31703,104
MI,48343,104
MN,55415,104
CA,93302,104
MN,56401,103
TN,37660,103
MS,38826,102
MI,48376,102
IA,50703,102
VA,23801,101
TX,77542,101
WI,54914,101
UT,84108,101
UT,84123,101
MO,63006,101
MA,02170,101
OR,97309,100
NJ,07663,100
WY,82003,100
NC,28815,100
OH,45242,100
NY,10591,100
CO,80110,99
IL,62864,99
OH,45502,99
MT,59801,98
MN,55423,98
NY,10940,98
PA,15317,98
NC,27115,97
CA,94305,97
MS,39181,97
UT,84084,96
WA,98027,96
MN,55432,96
TX,79102,96
NY,10460,95
NH,03766,95
IL,60148,95
MN,55102,95
CA,94560,95
TN,37133,95
WI,53202,95
CT,06010,95
PA,18702,94
FL,32402,94
CO,80523,94
FL,34478,94
FL,34208,94
UT,84090,94
NY,13902,93
CA,90703,93
AZ,85295,92
UT,84101,92
MI,49503,92
VA,23803,92
IN,46601,92
PA,17011,92
MT,59772,92
OH,45220,92
CO,80402,92
MO,65202,92
NJ,07059,91
NM,87501,91
AL,36302,91
CO,80913,91
OR,97501,91
WI,54902,91
TX,77726,91
NJ,07417,90
WA,98057,90
OH,43086,90
OH,45420,90
NC,28305,90
OR,97015,89
FL,33765,89
MA,01203,89
NJ,08830,89
IL,60073,88
IL,60065,88
WI,54650,88
MN,55426,88
CA,93457,88
WI,53008,88
NY,12901,88
OH,45343,88
MA,01886,88
NC,28025,88
MS,39208,87
NM,88006,87
SC,29304,87
