AL,DES MOINES,0,0,1,0,0
AL,DOTHAN,0,0,5,0,4
AL,Dadeville,0,0,3,3,0
AL,Daleville,0,0,3,3,0
AL,Daphne,0,1,1,1,0
AL,Decatur,0,1,14,8,2
AL,Demopolis,0,0,5,0,0
AL,Dora,0,0,1,0,0
AL,Dothan,1,0,35,41,5
AL,ENTERPRISE,0,0,4,0,0
AL,EUFAULA,0,0,2,0,0
AL,Eastaboga,0,0,3,3,0
AL,Eclectic,0,0,3,0,0
AL,Elberta,0,0,1,0,0
AL,Elmore,0,0,2,1,0
AL,Ensley,0,0,4,7,0
AL,Enterprise,0,0,22,15,1
AL,Eufaula,0,0,5,4,0
AL,FAIRFIELD,0,0,0,1,0
AL,FLORENCE,0,0,1,2,1
AL,FOLEY,0,0,1,0,0
AL,Fairfield,0,0,7,8,0
AL,Fairhope,0,1,0,1,1
AL,Falkville,0,1,0,0,0
AL,Fayette,0,0,1,5,1
AL,Flomaton,0,1,1,1,0
AL,Florala,0,0,3,3,0
AL,Florence,0,0,12,2,3
AL,Foley,0,0,17,12,0
AL,Fort Deposit,0,0,3,3,0
AL,Fort Meade,0,0,0,1,0
AL,Fort Payne,0,0,8,4,3
AL,Fort Rucker,0,0,22,6,4
AL,Fultondale,0,0,0,0,2
AL,GADSDEN,0,0,4,1,0
AL,GARDENDALE,0,0,1,0,0
AL,GULF SHORES,0,0,0,0,1
AL,Gadsden,0,0,23,39,0
AL,Gardendale,0,0,6,12,0
AL,Geneva,0,0,5,3,0
AL,Georgiana,0,0,3,3,0
AL,Goodwater,0,0,4,7,0
AL,Graysville,0,0,1,0,0
AL,Greenville,0,0,5,5,1
AL,Grove Hill,0,1,2,1,0
AL,Gulf,0,0,1,0,0
AL,Gulf Shores,0,0,3,0,1
AL,Gunter AFB,0,0,1,4,3
AL,Guntersville,4,0,5,1,1
AL,HANCEVILLE,0,0,1,0,0
AL,HOMEWOOD,0,0,0,2,0
AL,HUEYTOWN,0,0,0,0,1
AL,HUNTSVILLE,0,0,18,10,2
AL,Haleyville,0,1,1,0,0
AL,Hamilton,0,1,10,0,0
AL,Hanceville,0,0,2,1,0
AL,Hartford,0,0,1,1,0
AL,Hartselle,0,1,0,0,0
AL,Headland,0,0,4,3,0
AL,Heflin,0,0,5,10,0
AL,Helena,0,0,1,0,0
AL,Homewood,0,0,1,1,0
AL,Hoover,0,0,17,20,1
AL,Houston,0,0,0,1,0
AL,Hueytown,0,0,5,8,1
AL,IRONDALE,0,0,1,0,0
AL,Irvington,0,1,1,1,0
AL,JASPER,0,0,1,0,0
AL,Jackson,0,2,3,3,0
AL,Jackson County,0,0,0,1,0
AL,Jacksonville,0,0,6,8,1
AL,Jasper,0,0,5,1,0
AL,LINCOLN,0,0,2,0,0
AL,Lanett,0,0,3,3,0
AL,Langdale,0,0,3,3,0
AL,Leeds,0,0,4,9,0
AL,"Leeds, AL",0,0,0,1,0
AL,Leesburg,0,0,5,7,0
AL,Lincoln,0,0,0,1,0
AL,Linden,0,0,1,0,0
AL,Lineville,0,0,4,9,0
AL,Livingston,0,0,0,0,1
AL,Louisville,0,0,0,1,0
AL,Lynwwod,0,0,0,1,0
AL,MADISON,0,0,3,0,1
AL,MAXWELL AFB,0,0,1,0,0
AL,MCINTOSH,0,0,0,1,0
AL,MOBILE,0,0,5,2,1
AL,MONROEVILLE,0,0,1,0,0
AL,MONTGOMERY,0,0,6,25,4
AL,MUSCLE SHOALS,0,0,0,1,0
AL,Madison,0,1,11,3,0
AL,Mafb Gun Annx,0,0,0,1,0
AL,Marion,0,0,3,3,0
AL,Maxwell AFB,0,0,3,3,0
AL,Maxwell Afb,0,0,1,0,0
AL,McCalla,0,0,8,1,0
AL,McIntosh,0,1,1,1,0
AL,Meadowbrook,0,0,17,0,3
AL,Meridianville,0,0,0,3,0
AL,Midfield,0,0,2,0,0
AL,Millbrook,0,0,0,1,0
AL,Millport,0,0,3,0,0
AL,Mobile,3,13,118,46,4
AL,Monroeville,0,1,1,1,0
AL,Montevallo,0,0,5,9,0
AL,Montgomery,0,3,45,50,19
AL,Montrose,0,0,0,2,0
AL,Moody,0,0,1,0,0
AL,Morris,0,0,1,0,0
AL,Mountain Brookk,0,0,1,0,0
AL,Mt. Meigs,0,0,1,0,0
AL,Muscle Shoals,0,0,4,2,1
AL,Northport,0,0,0,0,1
AL,OPELIKA,0,11,3,0,0
AL,OXFORD,0,0,3,0,0
AL,Oak Grove,0,0,4,7,0
AL,Ohatchee,0,0,4,7,0
AL,Oneonta,0,0,4,10,0
AL,Opelika,0,0,7,2,3
AL,Opp,0,0,2,7,0
AL,Orange Beach,0,0,1,0,0
AL,Other,0,0,1,0,2
AL,Owens Cross Roads,0,0,1,0,0
AL,Oxford,0,0,7,8,1
AL,Ozark,0,1,5,3,0
AL,PELHAM,0,0,2,0,0
AL,PHENIX CITY,0,0,1,0,0
AL,PINE HILL,0,0,1,0,0
AL,PINE HILL MILL,0,0,0,1,0
AL,PRATTVILLE,0,0,4,0,0
AL,Pelham,0,1,13,9,0
AL,Pell City,0,0,11,11,0
AL,Phenix City,0,0,14,4,2
AL,Philadelphia,0,0,0,0,1
AL,Pike Road,0,0,1,0,0
AL,Pinson,0,0,1,0,0
AL,Pittsburgh,0,0,0,1,0
AL,Prattville,0,0,8,4,0
AL,Prichard,0,1,1,1,0
AL,RIVERDALE MILL,0,0,1,0,0
AL,ROANOKE,0,0,2,0,0
AL,Ragland,0,0,4,8,0
AL,Rainbow City,0,0,1,1,0
AL,Red Bay,0,0,1,1,0
AL,Redstone Arsenal,0,1,7,23,1
AL,Remote,0,0,2,0,0
AL,Remote US,0,0,1,0,0
AL,Remote USA,0,0,1,0,0
AL,Roanoke,0,0,4,11,0
AL,Robertsdale,0,0,2,0,0
AL,Russellville,0,0,3,2,0
AL,SEMMES,0,0,0,0,1
AL,STEELE,0,0,1,0,0
AL,SYLACAUGA,0,0,2,0,0
AL,Salem,0,0,3,3,0
AL,Saraland,0,1,1,1,1
AL,Scottsboro,0,0,4,0,0
AL,Selma,0,0,6,3,4
AL,Sheffield,0,0,2,0,0
AL,Slocomb,0,0,3,3,0
AL,Smiths,0,0,3,3,0
AL,Springville,0,0,4,8,0
AL,Steele,0,0,0,1,0
AL,Stevenson,0,0,2,0,0
AL,Sulligent,0,0,2,0,0
AL,Sunny South,0,0,1,1,0
AL,Sylacauga,0,0,9,12,0
AL,Sylvania,0,0,1,0,0
AL,TALLADEGA,0,0,0,2,0
AL,TROY,0,0,5,1,0
AL,TRUSSVILLE,0,0,1,0,0
AL,TUSCALOOSA,0,0,5,0,0
AL,Talladega,0,0,6,10,0
AL,Tallassee,0,0,3,5,0
AL,Theodore,0,1,2,3,0
AL,Thomasville,0,1,2,1,0
AL,Troy,0,4,17,9,5
AL,Trussville,0,0,15,11,1
AL,Tuscaloosa,0,1,20,15,25
AL,Tuscumbia,0,0,4,1,1
AL,Tuskegee,0,0,0,1,0
AL,Union Springs,0,0,3,3,0
AL,Uniontown,0,0,1,0,0
AL,VALLEY,0,1,0,0,0
AL,VESTAVIA HILLS,0,0,2,0,0
AL,Valley,0,0,5,4,1
AL,Valley Head,0,0,1,0,0
AL,Vance,0,1,0,0,0
AL,Varnons,0,0,4,10,0
AL,Verbena,0,0,3,3,0
AL,Vernon,0,0,1,1,0
AL,Vestavia Hills,0,0,0,1,0
AL,Vincent,0,0,4,7,0
AL,WETUMPKA,0,0,0,0,1
AL,Walton Beach,0,0,4,0,0
AL,Wedowee,0,0,5,7,0
AL,West Melbourne,0,0,1,0,0
AL,West Mobile,0,0,1,0,0
AL,Wetumpka,0,0,3,3,1
AL,White Hall,0,0,1,0,0
AL,Wilsonville,0,0,4,7,0
AL,Winfield,0,0,2,1,0
AL,irmingham,0,0,0,1,0
AL,mobile,0,0,0,1,0
AL,oxford,0,0,1,0,0
AR,Camden,0,0,4,6,0
AR,Helena,0,0,2,4,3
AR,Jacksonville,0,0,8,1,2
AR,Marion,0,1,0,0,1
AR,Ozark,0,0,3,0,1
AR,Russellville,0,0,8,5,1
AR,Salem,0,0,2,2,0
AR,ARKADELPHIA,0,0,0,1,1
AR,ARKANSAS CITY,0,0,1,0,0
AR,ASHDOWN,0,0,0,0,1
AR,Alexander,0,1,1,0,0
AR,All,0,0,2,2,1
AR,Arad,0,0,1,0,0
AR,Arkadelphia,1,0,5,0,0
AR,Ashdown,0,0,2,0,0
AR,BENTONVILLE,0,1,30,15,3
AR,BISMARCK,0,0,1,0,0
AR,BRYANT,0,0,1,0,0
AR,Barling,0,0,1,1,0
AR,Batesville,0,0,1,2,0
AR,Bella Vista,0,0,1,1,1
AR,Benton,0,0,5,2,1
AR,Bentonville,0,3,38,155,4
AR,Berryville,0,0,1,1,0
AR,Blytheville,0,0,4,4,0
AR,Booneville,0,0,1,0,1
AR,Bryant,0,0,1,0,2
AR,C,0,0,0,4,1
AR,CLARKSVILLE,0,1,0,0,0
AR,CONWAY,0,0,2,0,0
AR,Cabot,0,1,2,0,0
AR,Calico Rock,0,0,0,1,0
AR,Camp J T Robinson,0,0,14,2,0
AR,Centerton,0,0,0,1,0
AR,Centerville,0,0,0,1,0
AR,Charleston,0,0,1,0,0
AR,Cherry Valley,0,0,1,0,0
AR,Clarksville,0,1,3,0,0
AR,Conway,0,0,11,14,1
AR,Corning,0,0,2,2,0
AR,Crossett,0,0,0,1,0
AR,Damascus,0,1,1,0,0
AR,Dardanelle,0,0,6,0,0
AR,De Queen,0,0,2,0,0
AR,DeQueen,0,0,1,0,0
AR,Delight,0,0,0,1,0
AR,Dewitt,0,0,1,0,0
AR,Dierks,0,0,1,0,0
AR,Donaldson,0,0,1,0,0
AR,EL DORADO,0,0,2,0,0
AR,EUREKA SPRINGS,0,0,1,0,0
AR,El Dorado,0,0,10,19,1
AR,Eureka Springs,0,0,2,2,0
AR,FAYETTEVILLE,0,1,7,4,0
AR,FORT SMITH,0,0,3,0,1
AR,Fayetteville,0,0,37,29,34
AR,Fordyce,0,0,0,0,1
AR,Foreman,0,0,1,0,0
AR,Forrest CIty,0,0,1,0,0
AR,Forrest City,0,0,3,4,0
AR,Fort Chaffee,0,0,5,2,0
AR,Fort SMith,0,0,2,0,0
AR,Fort Smith,0,1,54,54,6
AR,Ft. Smith,0,0,2,0,0
AR,Gould,0,0,1,1,0
AR,Grady,0,0,2,4,0
AR,Green Forest,0,0,3,0,0
AR,Greenbrier,0,0,0,2,0
AR,Greenwood,0,0,0,1,0
AR,HOPE,0,0,1,0,0
AR,HOT SPRINGS,0,0,17,32,2
AR,HOT SPRNGS,0,0,1,0,0
AR,Hampton,0,0,0,2,0
AR,Harrisburg,0,0,2,0,0
AR,Harrison,0,0,1,3,1
AR,Haynes,0,0,1,0,0
AR,Heber Springs,0,0,1,2,0
AR,Hope,0,0,4,4,0
AR,Hot Springs,0,0,7,5,0
AR,Hot Springs Village,0,0,4,1,0
AR,JACKSONVILLE,0,0,0,1,0
AR,JONESBORO,0,1,14,38,1
AR,Jefferson,0,0,0,1,1
AR,Jersey,0,0,1,0,0
AR,Jessieville,0,0,3,0,0
AR,Johnson,0,0,3,12,0
AR,Jonesboro,0,5,30,9,5
AR,Kirby,0,0,1,0,0
AR,LAKE VILLAGE,0,0,1,0,0
AR,LITTLE ROCK,0,1,32,82,0
AR,Lake Village,0,0,1,0,0
AR,Little Rock,0,6,164,184,44
AR,Little Rock AFB,0,0,4,0,1
AR,Little Rock Air Force Base,0,0,1,1,0
AR,Little rock,0,0,1,1,2
AR,Lonoke,0,0,3,0,1
AR,Lowell,0,0,13,17,2
AR,Luxora,0,0,1,0,0
AR,MAGNOLIA,0,0,1,0,0
AR,MAUMELLE,0,0,1,0,0
AR,MENA,0,0,1,0,0
AR,MIDWAY,0,0,1,0,0
AR,MORRILTON,0,0,1,1,0
AR,MOUNT IDA,0,0,0,0,1
AR,Magnolia,0,0,1,2,0
AR,Malvern,0,0,4,0,2
AR,Marshall,0,0,2,0,0
AR,Maumelle,0,0,6,10,0
AR,Mayflower,0,0,1,0,0
AR,McGehee,0,0,1,0,0
AR,Mena,0,0,3,0,0
AR,Mendoza,0,1,0,0,0
AR,Monticello,0,0,1,1,0
AR,Mountain Home,0,0,7,9,4
AR,Mountainburg,0,0,1,0,0
AR,Mt Ida,0,0,0,1,0
AR,Murfreesboro,0,0,0,1,0
AR,N LITTLE ROCK,0,0,1,0,0
AR,NASHVILLE,0,0,0,0,1
AR,NLR/Camp Robinson,0,0,1,0,0
AR,NORTH LITTLE ROCK,0,0,0,14,0
AR,Nashville,0,0,3,1,0
AR,Newark,0,0,0,0,1
AR,Newport,0,0,0,1,0
AR,North Little Rock,0,1,12,12,4
AR,OSCEOLA,0,0,6,0,0
AR,Osceola,0,2,4,3,0
AR,PARAGOULD,0,0,2,0,0
AR,PINE BLUFF,0,0,0,0,1
AR,Paragould,0,0,3,1,0
AR,Parkin,0,0,1,0,0
AR,Pine Bluff,0,0,16,7,2
AR,Pine Bluff Arsenal,0,0,0,2,0
AR,Pocahontas,0,0,1,2,0
AR,ROGERS,0,0,2,1,0
AR,RUSSELLVILLE,0,0,1,0,0
AR,Rison,0,2,0,2,0
AR,Rogers,0,1,29,27,4
AR,SEARCY,0,0,8,1,0
AR,SHERIDAN,0,0,1,0,0
AR,SHERWOOD,0,0,1,2,0
AR,SPRINGDALE,0,0,3,2,2
AR,STUTTGART,0,1,0,0,0
AR,Scranton,0,0,4,0,0
AR,Searcy,0,0,3,2,0
AR,Siloam Springs,0,0,3,9,1
AR,Springadale,1,0,0,0,0
AR,Springdale,2,1,34,23,4
AR,St. Louis,0,0,1,0,0
AR,Stuttgart,0,0,0,5,0
AR,Texarkana,1,0,8,1,1
AR,Tucker,0,0,2,0,0
AR,Tyronza,0,0,1,0,0
AR,Van Buren,0,0,1,4,0
AR,WEST HELENA,0,0,0,0,1
AR,WEST MEMPHIS,0,0,4,0,0
AR,West Memphis,0,1,9,4,0
AR,Widener,0,0,1,0,0
AR,Wrightsville,0,0,1,1,0
AR,Wynne,0,0,1,0,0
AZ,Phoenix,0,14,603,1013,137
AZ,FLORENCE,0,0,5,3,0
AZ,Florence,0,0,1,2,2
AZ,Houston,0,0,0,1,0
AZ,2400 W. Dunlap Ave. Suite 100,0,0,0,0,1
AZ,290 S. Alma School Rd. Suite 01,0,0,0,0,1
AZ,85281,0,0,0,1,0
AZ,AZ Southwest,0,0,1,0,0
AZ,Ajo,0,0,0,0,1
AZ,Anaheim,0,0,0,2,0
AZ,Anthem,0,0,0,1,0
AZ,Anywhere USA,0,0,0,1,0
AZ,Apache Junction,0,0,2,1,1
AZ,Avondale,0,0,5,3,3
AZ,BELLEMONT,0,0,1,0,0
