state,Zip,S&E,S&E-related,STEM Middle-skill
AL,36610,1,0,2
AL,36615,0,0,1
AL,36652,1,1,0
AL,36701,3,6,3
AL,36702,0,0,1
AL,36726,3,1,3
AL,36732,0,1,4
AL,36748,0,0,1
AL,36756,3,0,3
AL,36769,1,0,2
AL,36784,1,0,3
AL,36786,0,0,1
AL,36801,0,1,3
AL,36803,2,3,22
AL,36830,6,3,17
AL,36832,2,0,2
AL,36851,2,1,2
AL,36853,3,0,3
AL,36854,3,0,3
AL,36863,0,6,0
AL,36870,3,12,6
AL,36872,4,3,4
AL,36874,3,0,3
AL,36877,3,0,3
AL,50021,1,0,0
AR,71601,0,2,0
AR,71603,9,11,5
AR,71630,0,0,1
AR,71635,0,1,0
AR,71643,0,2,0
AR,71644,0,6,0
AR,71651,0,0,1
AR,71653,1,0,1
AR,71654,1,0,0
AR,71655,0,3,0
AR,71657,1,0,0
AR,71665,2,0,2
AR,71671,0,0,1
AR,71701,1,0,1
AR,71711,3,1,4
AR,71730,1,0,4
AR,71731,5,18,7
AR,71742,0,1,0
AR,71744,2,0,0
AR,71754,2,1,1
AR,71801,0,5,3
AR,71802,0,0,1
AR,71822,0,2,1
AR,71832,0,0,3
AR,71833,0,0,1
AR,71836,0,0,1
AR,71852,0,3,3
AR,71854,0,5,7
AR,71901,0,1,1
AR,71909,0,2,3
AR,71913,0,2,1
AR,71914,1,57,2
AR,71923,1,1,5
AR,71929,0,0,1
AR,71940,1,0,0
AR,71941,0,0,1
AR,71944,0,0,1
AR,71949,0,3,0
AR,71950,0,0,1
AR,71953,1,2,1
AR,71957,0,1,0
AR,71958,0,1,0
AR,71999,1,0,0
AR,72002,0,1,1
AR,72015,1,3,2
AR,72018,0,0,3
AR,72022,1,2,1
AR,72023,0,0,3
AR,72032,2,0,0
AR,72033,0,1,3
AR,72034,15,6,4
AR,72039,0,0,2
AR,72042,1,0,0
AR,72058,2,0,0
AR,72076,1,8,9
AR,72079,2,0,0
AR,72084,0,0,1
AR,72086,1,3,0
AR,72099,2,0,0
AR,72104,3,1,3
AR,72106,1,0,0
AR,72107,0,0,1
AR,72110,0,2,0
AR,72112,0,1,0
AR,72113,10,2,7
AR,72114,0,0,2
AR,72117,0,2,0
AR,72120,0,3,0
AR,72125,0,0,1
AR,72143,1,2,0
AR,72145,3,0,8
AR,72150,0,1,1
AR,72160,4,1,12
AR,72168,0,2,0
AR,72183,0,2,0
AR,72190,5,28,7
AR,72201,1,5,0
AR,72204,0,0,2
AR,72205,188,256,51
AR,72206,0,0,2
AR,72209,0,1,6
AR,72211,2,2,0
AR,72212,0,3,1
AR,72219,0,0,1
AR,72231,0,1,0
AR,72303,1,5,13
AR,72315,1,0,1
AR,72316,1,5,0
AR,72324,0,0,1
AR,72335,0,0,1
AR,72336,0,6,1
AR,72341,0,0,1
AR,72342,0,7,2
AR,72358,0,0,1
AR,72364,0,1,2
AR,72370,0,6,10
AR,72373,0,0,1
AR,72386,0,0,1
AR,72390,0,1,0
AR,72394,0,0,1
AR,72396,0,0,1
AR,72401,8,61,35
AR,72404,0,1,3
AR,72422,2,2,0
AR,72432,0,0,2
AR,72443,0,0,1
AR,72450,0,2,5
AR,72455,2,0,1
AR,72501,1,2,0
AR,72519,0,1,0
AR,72543,0,2,1
AR,72562,1,0,0
AR,72576,0,4,0
AR,72602,0,4,1
AR,72616,0,1,1
AR,72632,0,2,3
AR,72638,0,1,2
AR,72650,1,0,1
AR,72651,0,0,1
AR,72653,0,2,0
AR,72654,1,17,0
AR,72701,5,0,1
AR,72702,40,46,19
AR,72704,0,2,0
AR,72712,161,61,27
AR,72715,0,2,1
AR,72719,1,0,0
AR,72741,0,15,0
AR,72745,23,8,1
AR,72756,11,7,1
AR,72758,7,24,14
AR,72761,2,10,1
AR,72762,0,0,1
AR,72764,0,3,2
AR,72765,0,0,1
AR,72766,10,34,21
AR,72801,0,0,1
AR,72811,5,3,6
AR,72830,0,0,7
AR,72833,1,0,0
AR,72834,0,1,5
AR,72863,0,0,4
AR,72901,0,0,1
AR,72902,0,1,3
AR,72903,15,92,13
AR,72905,5,0,2
AR,72913,1,0,0
AR,72923,2,0,0
AR,72927,0,1,1
AR,72933,0,1,0
AR,72936,1,0,0
AR,72946,0,0,1
AR,72949,3,1,3
AR,72956,3,2,1
AZ,85001,3,1,2
AZ,85003,4,0,5
AZ,85008,5,0,0
AZ,85009,0,2,2
AZ,85014,0,4,0
AZ,85015,1,0,0
AZ,85021,0,0,1
AZ,85027,0,0,1
AZ,85032,0,0,1
AZ,85034,0,2,0
AZ,85040,2,0,1
AZ,85042,1,0,0
AZ,85053,2,1,1
AZ,85067,936,832,206
AZ,85086,0,1,0
AZ,85117,1,3,0
