state,Zip,S&E,S&E-related,STEM Middle-skill
IA,52553,0,0,3
IA,52556,9,5,2
IA,52563,0,0,2
IA,52565,1,1,0
IA,52577,0,3,4
IA,52577-0479,0,1,0
IA,52591,0,1,0
IA,52601,3,1,23
IA,52601-2000,0,0,1
IA,52601-4758,1,0,0
IA,52601-8945,0,0,1
IA,52627,4,3,11
IA,52627-9533,0,0,1
IA,52632,0,0,1
IA,52637-9496,0,1,0
IA,52640,0,1,0
IA,52641,1,0,4
IA,52655,4,44,1
IA,52655-8621,0,0,1
IA,52722,2,5,14
IA,52730,1,0,0
IA,52730-0056,0,0,1
IA,52730-9698,0,0,1
IA,52732,5,27,5
IA,52732-4338,0,0,1
IA,52732-6638,3,0,0
IA,52738,1,1,6
IA,52742,0,1,1
IA,52748,1,0,0
IA,52754,0,0,1
IA,52761,16,3,6
IA,52761-4599,0,0,1
IA,52773,0,0,2
IA,52776,4,1,3
IA,52778,0,2,0
IA,52801,7,3,2
IA,52802,1,1,9
IA,52803,0,5,0
IA,52803-5214,0,0,3
IA,52804,41,56,14
IA,52804-1707,0,2,0
IA,52806,6,1,6
IA,52807,0,10,7
IA,52807-4606,0,0,1
ID,83201,32,73,30
ID,83202,2,3,2
ID,83203,0,1,0
ID,83204,0,1,0
ID,83206,6,24,10
ID,83209,0,1,0
ID,83211,1,0,2
ID,83221,3,6,5
ID,83234,0,0,1
ID,83276,3,1,0
ID,83277,0,1,0
ID,83301,14,17,31
ID,83303,6,13,15
ID,83313,0,0,1
ID,83316,0,0,1
ID,83318,2,11,11
ID,83330,0,4,0
ID,83333,1,3,2
ID,83338,1,0,2
ID,83340,0,8,1
ID,83347,2,0,0
ID,83350,0,0,1
ID,83355,0,0,1
ID,83401,25,16,21
ID,83402,7,2,10
ID,83404,12,12,11
ID,83405,0,1,1
ID,83406,0,2,0
ID,83415,15,3,1
ID,83423,0,0,9
ID,83428,0,0,2
ID,83440,0,5,2
ID,83442,2,0,3
ID,83460,2,1,0
ID,83467,8,4,1
ID,83472,2,0,0
ID,83501,5,26,23
ID,83520,2,2,1
ID,83536,0,1,0
ID,83539,3,0,0
ID,83540,0,3,1
ID,83544,1,24,10
ID,83604,0,0,10
ID,83605,13,3,7
ID,83607,0,1,1
ID,83610,0,0,1
ID,83611,0,0,6
ID,83612,0,0,10
ID,83616,0,2,4
ID,83617,0,3,0
ID,83619,1,2,2
ID,83631,0,0,6
ID,83637,0,0,6
ID,83638,2,0,0
ID,83642,6,23,49
ID,83646,1,0,2
ID,83647,0,3,11
ID,83648,1,2,0
ID,83651,0,21,6
ID,83654,0,0,16
ID,83655,0,0,2
ID,83661,1,4,4
ID,83669,0,0,1
ID,83672,0,0,6
ID,83680,0,0,1
ID,83687,3,24,16
ID,83701,297,63,23
ID,83702,5,1,2
ID,83703,0,4,0
ID,83704,1,6,1
ID,83705,3,6,5
ID,83706,0,4,5
ID,83707,0,1,0
ID,83708,196,114,53
ID,83709,2,4,11
ID,83712,2,17,1
ID,83713,1,1,2
ID,83714,0,11,4
ID,83716,2,0,0
ID,83719,0,1,0
ID,83725,9,2,0
ID,83805,5,1,2
ID,83806,0,0,4
ID,83814,14,12,10
ID,83815,0,4,1
ID,83816,0,0,1
ID,83822,0,2,0
ID,83833,0,0,1
ID,83835,0,4,2
ID,83843,0,8,9
ID,83844,4,1,1
ID,83852,0,1,0
ID,83854,1,0,4
ID,83858,0,0,2
ID,83860,1,0,1
ID,83861,4,2,3
ID,83864,17,18,14
ID,83867,0,6,0
ID,83871,0,0,1
ID,83877,0,1,2
ID,99403,0,0,1
IL,55422,0,1,0
IL,55474,1,1,0
IL,60002,0,0,2
IL,60004,17,50,17
IL,60005,1,0,0
IL,60007,14,41,17
IL,60008,33,10,11
IL,60010,15,8,2
IL,60012,3,2,0
IL,60013,2,2,4
IL,60014,0,1,10
IL,60015,159,74,9
IL,60017,16,20,7
IL,60018,48,14,5
IL,60022,0,0,1
IL,60025,1,0,0
IL,60026,16,4,2
IL,60030,1,1,0
IL,60031,4,2,2
IL,60033,0,1,1
IL,60035,1,3,2
IL,60037,1,2,0
IL,60041,1,0,1
IL,60044,2,0,3
IL,60045,48,15,5
IL,60046,1,0,0
IL,60047,5,1,10
IL,60048,23,3,17
IL,60050,1,1,0
IL,60051,3,17,6
IL,60053,4,1,0
IL,60056,21,18,16
IL,60060,6,1,1
IL,60061,75,6,6
IL,60062,2,0,2
IL,60064,76,37,12
IL,60065,53,28,7
IL,60067,8,4,5
IL,60068,4,4,1
IL,60069,39,4,0
IL,60070,0,5,1
IL,60072,0,0,1
IL,60073,51,18,19
IL,60074,0,0,1
IL,60076,0,0,7
IL,60077,34,4,8
IL,60079,19,25,13
IL,60083,0,1,0
IL,60084,2,3,0
IL,60085,0,1,6
IL,60088,2,6,0
IL,60089,35,8,10
IL,60090,4,4,5
IL,60091,2,2,0
IL,60093,23,2,0
IL,60098,3,5,3
IL,60099,0,1,0
IL,60099-3662,0,1,0
IL,60101,1,4,1
IL,60102,0,1,1
IL,60103,2,0,4
IL,60104,0,0,3
IL,60106,18,1,7
IL,60107,0,1,1
IL,60108,3,3,1
IL,60110,0,0,9
IL,60112,0,0,1
IL,60115,13,9,10
IL,60118,2,1,3
IL,60120,13,16,12
IL,60123,1,1,2
IL,60126,16,3,9
IL,60130,2,0,0
IL,60131,7,1,11
IL,60133,3,0,0
IL,60134,3,3,16
IL,60135,0,1,1
IL,60136,0,0,1
IL,60138,1,5,0
IL,60139,3,3,2
IL,60140,1,0,0
IL,60141,19,7,1
IL,60142,0,11,12
IL,60143,57,9,9
IL,60148,72,12,11
IL,60152,2,1,2
IL,60153,0,0,3
IL,60154,71,50,4
IL,60155,5,0,0
IL,60156,0,1,0
IL,60160,1,0,2
IL,60161,1,2,8
IL,60162,0,2,4
IL,60164,3,2,0
IL,60169,22,34,3
IL,60171,2,0,2
IL,60172,1,0,0
IL,60173,135,9,13
IL,60174,2,0,2
IL,60175,5,3,10
IL,60176,0,0,2
IL,60177,1,0,0
IL,60178,4,0,2
IL,60180,1,0,0
IL,60181,27,10,2
IL,60185,26,1,4
IL,60188,3,0,8
IL,60189,4,2,1
IL,60190,0,1,0
IL,60191,4,11,2
IL,60192,3,0,0
IL,60193,0,0,1
IL,60195,2,0,0
IL,60201,16,9,6
IL,60202,0,1,0
IL,60290,7,2,0
IL,60303,0,2,1
IL,60305,0,1,1
IL,60402,0,1,0
IL,60403,0,2,2
IL,60404,0,0,5
IL,60406,0,14,3
IL,60407,5,1,0
IL,60409,1,1,0
IL,60410,0,2,2
IL,60411,0,0,1
IL,60412,0,5,0
IL,60415,0,0,1
IL,60417,2,0,0
IL,60420,0,1,1
IL,60421,0,0,3
IL,60422,0,1,0
IL,60423,1,3,2
IL,60426,1,1,3
IL,60430,9,4,22
IL,60432,0,1,0
IL,60433,1,1,0
IL,60434,21,10,9
IL,60435,0,0,10
IL,60436,1,1,1
IL,60438,0,2,6
IL,60439,24,5,11
IL,60440,18,4,20
IL,60441,2,0,2
IL,60443,1,3,4
IL,60444,0,1,0
IL,60445,0,0,1
IL,60446,2,1,15
IL,60447,0,1,4
IL,60448,0,1,3
IL,60450,9,7,8
IL,60451,0,4,0
IL,60452,1,0,0
IL,60453,2,10,9
IL,60455,1,1,3
IL,60457,1,0,0
IL,60458,0,0,4
IL,60459,0,3,0
IL,60461,0,2,1
IL,60463,0,8,1
IL,60466,0,0,1
IL,60467,3,4,9
IL,60473,2,8,6
IL,60477,19,8,2
IL,60478,0,1,0
IL,60481,1,0,0
IL,60484,3,0,0
IL,60490,0,0,3
IL,60491,0,0,2
IL,60499,1,0,8
IL,60502,0,0,1
IL,60504,1,0,2
IL,60505,31,10,13
IL,60506,0,0,1
IL,60510,2,1,4
IL,60513,0,1,0
IL,60515,51,19,16
IL,60517,19,10,1
IL,60521,1,1,0
IL,60522,1,4,0
IL,60523,57,16,7
IL,60525,4,2,9
IL,60527,23,7,1
IL,60532,53,12,7
IL,60538,3,0,6
IL,60540,57,17,7
IL,60542,2,0,2
IL,60543,2,1,1
IL,60544,2,1,3
IL,60545,1,0,0
IL,60546,2,0,2
IL,60554,1,0,0
IL,60555,9,1,0
IL,60559,1,14,3
IL,60560,0,3,0
IL,60561,1,0,0
IL,60563,2,3,0
IL,60564,1,0,0
IL,60601,12,3,0
IL,60602,2,0,0
IL,60603,7,3,2
IL,60604,3,0,0
IL,60606,36,12,0
IL,60607,3,0,0
IL,60608,2,0,1
IL,60609,1,0,2
IL,60610,0,0,1
IL,60611,1,0,0
IL,60612,0,0,1
IL,60616,1,2,0
IL,60618,0,0,2
IL,60622,0,1,0
IL,60625,3,0,0
IL,60626,1,1,2
IL,60629,0,1,0
IL,60631,1,0,0
IL,60632,0,0,1
IL,60638,0,0,1
IL,60640,1,0,0
IL,60641,0,0,1
IL,60642,0,0,2
IL,60643,0,1,1
IL,60652,0,0,3
IL,60656,0,0,3
IL,60661,2,1,1
IL,60664,1643,636,191
IL,60706,0,1,0
IL,60707,0,1,0
IL,60712,1,3,0
IL,60714,9,8,9
IL,60803,4,3,13
IL,60804,2,2,1
IL,60805,0,31,0
IL,60901,9,7,9
IL,60914,0,2,1
IL,60915,1,0,1
IL,60929,0,1,0
IL,60936,0,1,1
IL,60938,0,0,2
IL,60957,0,2,1
IL,60970,0,3,1
IL,61008,1,4,11
IL,61010,3,1,3
IL,61020,1,0,0
IL,61021,4,7,5
IL,61025,0,2,0
IL,61032,1,4,9
IL,61036,0,0,4
IL,61053,0,2,0
IL,61061,0,1,0
IL,61063,0,1,0
IL,61068,0,0,4
IL,61071,0,0,2
IL,61072,2,1,1
IL,61073,0,2,0
IL,61074,3,1,3
IL,61080,0,2,7
IL,61081,0,3,10
IL,61101,1,0,1
IL,61103,0,2,0
IL,61104,0,0,1
IL,61106,38,82,42
IL,61108,1,1,0
IL,61111,0,1,4
IL,61112,0,0,1
IL,61114,2,0,2
IL,61115,3,2,9
IL,61130,0,2,3
IL,61132,1,0,1
IL,61201,2,4,2
IL,61204,31,11,6
IL,61231,0,1,0
IL,61234,0,1,0
IL,61240,1,0,4
IL,61242,1,0,3
IL,61244,9,5,1
IL,61250,2,0,0
IL,61254,1,4,3
IL,61257,0,0,3
IL,61264,7,0,3
IL,61265,0,1,1
IL,61266,35,8,12
IL,61277,0,5,0
IL,61282,2,3,0
IL,61285,0,0,1
IL,61341,7,0,5
IL,61342,0,3,1
IL,61348,0,0,1
IL,61350,1,14,7
IL,61354,0,3,2
IL,61356,2,7,10
IL,61360,0,0,1
IL,61362,2,0,4
IL,61364,1,21,8
IL,61401,1,36,4
IL,61411,0,1,0
IL,61434,0,0,1
IL,61438,0,0,1
IL,61443,0,2,0
IL,61448,0,1,0
IL,61450,0,1,0
IL,61455,1,10,0
IL,61462,2,9,2
IL,61473,0,0,1
IL,61520,0,5,1
IL,61523,2,3,1
IL,61525,1,0,0
IL,61528,1,0,0
IL,61537,0,1,0
IL,61542,1,0,0
IL,61546,1,0,0
IL,61547,0,1,2
IL,61550,3,0,2
IL,61552,75,2,1
IL,61554,0,4,1
IL,61555,6,1,0
IL,61561,0,4,0
IL,61568,0,0,1
IL,61571,1,1,0
IL,61601,1,4,0
IL,61602,0,0,1
IL,61604,0,1,2
IL,61606,153,123,43
IL,61611,11,5,8
IL,61614,1,4,0
IL,61615,1,0,0
IL,61616,0,2,0
IL,61630,2,0,0
IL,61635,3,1,0
IL,61637,1,0,0
IL,61701,3,4,0
IL,61705,113,18,10
IL,61725,0,0,1
IL,61727,2,0,3
IL,61744,0,0,2
IL,61761,0,5,6
IL,61764,2,0,2
IL,61769,0,2,0
IL,61776,2,0,0
IL,61790,6,2,2
IL,61801,1,36,1
IL,61813,1,0,2
IL,61820,1,0,1
IL,61821,35,22,12
IL,61832,0,1,1
IL,61834,12,12,8
IL,61842,0,1,0
IL,61851,0,1,0
IL,61853,0,0,1
IL,61911,1,0,0
IL,61920,0,1,3
IL,61937,0,1,0
IL,61938,3,10,2
IL,61944,5,1,8
IL,62002,0,37,2
IL,62024,5,0,2
IL,62025,6,2,2
IL,62033,0,0,1
IL,62034,0,1,0
IL,62035,0,4,2
IL,62040,2,38,9
IL,62049,0,1,0
IL,62052,0,2,0
IL,62056,0,2,1
IL,62060,1,0,1
IL,62062,0,2,1
IL,62075,0,0,1
IL,62084,2,0,1
IL,62087,0,0,1
IL,62088,0,1,0
IL,62089,1,0,0
IL,62090,0,0,2
IL,62095,1,1,1
IL,62201,2,2,3
IL,62203,0,4,0
IL,62205,15,1,5
IL,62206,2,0,4
IL,62208,3,4,1
IL,62220,1,24,13
IL,62221,0,0,1
IL,62223,1,3,2
IL,62225,59,1,14
IL,62232,0,1,2
IL,62234,2,0,7
IL,62236,0,0,2
IL,62237,0,1,0
IL,62239,0,0,1
IL,62246,0,0,1
IL,62249,2,0,2
IL,62254,0,1,0
IL,62258,0,1,1
IL,62263,1,2,3
IL,62265,0,1,0
IL,62269,55,5,4
IL,62274,1,0,2
IL,62278,0,6,1
IL,62286,0,2,0
IL,62294,0,0,1
IL,62298,0,2,0
IL,62301,1,3,1
IL,62306,4,6,6
IL,62319,0,0,1
IL,62321,0,1,1
IL,62341,0,1,0
IL,62353,3,2,3
IL,62354,0,0,1
IL,62375,0,1,0
IL,62401,14,16,5
IL,62410,0,1,0
IL,62441,8,1,1
IL,62450,0,2,18
IL,62454,0,1,3
IL,62521,1,2,0
IL,62523,20,32,8
IL,62526,1,1,2
IL,62548,0,0,2
IL,62550,0,1,0
IL,62563,1,0,0
IL,62565,1,2,8
IL,62567,0,0,1
IL,62568,0,3,0
IL,62612,0,1,0
IL,62615,0,1,0
IL,62618,0,0,4
IL,62626,1,4,0
IL,62638,0,2,0
IL,62642,0,1,0
IL,62650,3,6,0
IL,62656,6,12,1
IL,62668,0,1,0
IL,62675,0,1,0
IL,62681,0,4,0
IL,62691,0,1,0
IL,62693,0,1,0
IL,62694,0,1,0
IL,62701,78,94,45
IL,62703,0,0,2
IL,62704,2,0,2
IL,62706,1,0,0
IL,62711,0,0,1
IL,62712,0,0,1
IL,62794,7,5,3
IL,62801,0,13,1
IL,62806,2,0,3
IL,62812,0,2,0
IL,62818,0,1,0
IL,62822,0,2,0
IL,62824,0,1,0
IL,62828,1,1,2
IL,62837,0,1,0
IL,62839,4,1,0
IL,62846,0,1,0
IL,62858,0,1,1
IL,62859,0,3,0
IL,62864,7,69,23
IL,62870,0,3,0
IL,62871,0,1,0
IL,62898,0,0,1
IL,62901,0,1,0
IL,62903,7,3,0
IL,62906,0,1,1
IL,62918,2,1,0
IL,62924,0,0,1
IL,62933,0,3,0
IL,62946,0,3,0
IL,62948,0,0,1
IL,62959,4,7,7
IL,62960,0,1,0
IL,62970,1,0,1
IL,66601,1,0,0
IL,84664,0,0,1
IN,46001,0,1,1
IN,46016,4,55,6
IN,46036,2,4,4
IN,46037,0,0,1
IN,46038,27,29,9
IN,46041,2,14,12
IN,46044,0,0,1
IN,46051,1,0,1
IN,46052,0,4,5
IN,46055,0,1,1
IN,46060,2,6,16
IN,46063,2,0,4
IN,46064,1,0,0
IN,46069,0,0,1
IN,46072,2,1,0
IN,46074,4,2,0
IN,46075,0,5,3
IN,46077,0,3,5
IN,46082,44,61,15
IN,46107,2,2,2
IN,46112,2,1,0
IN,46113,0,1,0
IN,46115,0,1,0
IN,46118,2,0,2
IN,46121,0,0,1
IN,46122,1,0,3
IN,46123,0,7,1
IN,46124,24,0,8
IN,46131,1,2,4
IN,46133,0,0,1
IN,46135,1,5,15
IN,46140,11,20,24
IN,46142,3,9,21
IN,46143,0,0,1
IN,46148,0,1,2
IN,46151,2,1,1
IN,46155,0,0,1
IN,46156,0,0,1
IN,46158,1,1,6
IN,46161,1,1,1
IN,46163,0,0,1
IN,46167,2,0,0
IN,46168,7,5,24
IN,46171,0,0,1
IN,46173,2,0,0
IN,46176,2,3,5
IN,46184,0,1,0
IN,46201,0,1,1
IN,46202,562,872,178
IN,46204,4,1,3
IN,46206,0,0,1
IN,46214,0,0,2
IN,46218,0,1,0
IN,46222,1,0,1
IN,46224,0,1,1
IN,46225,0,0,1
IN,46227,1,0,0
IN,46231,0,0,1
IN,46237,1,0,0
IN,46240,1,0,3
IN,46241,1,0,3
IN,46250,2,0,0
IN,46256,0,1,0
IN,46260,0,1,0
IN,46285,1,0,0
IN,46304,2,2,3
IN,46308,1,4,0
IN,46310,1,0,0
IN,46312,4,10,11
IN,46319,1,1,0
IN,46320,14,4,7
IN,46321,0,6,1
IN,46322,0,3,0
IN,46323,1,0,0
IN,46341,0,1,0
IN,46342,0,1,1
IN,46345,0,1,1
IN,46350,2,2,2
IN,46352,1,10,0
IN,46360,0,0,1
IN,46361,2,9,2
IN,46368,2,15,5
IN,46375,0,1,1
IN,46383,3,45,4
IN,46392,0,0,1
IN,46394,4,0,3
IN,46409,0,3,14
IN,46410,5,16,0
IN,46501,0,0,1
IN,46506,0,1,0
IN,46507,1,0,2
IN,46510,0,1,0
IN,46514,0,0,14
IN,46515,0,0,3
IN,46516,5,7,21
IN,46517,0,1,0
IN,46526,1,2,6
IN,46528,1,0,5
IN,46530,0,2,1
IN,46534,0,4,0
IN,46539,0,1,0
IN,46543,0,0,1
IN,46545,1,0,0
IN,46546,2,22,13
IN,46550,0,0,1
IN,46556,14,6,2
IN,46561,0,1,0
IN,46562,0,3,1
IN,46567,0,0,1
IN,46574,2,0,0
IN,46580,0,0,3
IN,46582,39,34,10
IN,46601,41,24,27
IN,46614,0,0,1
IN,46617,0,0,1
IN,46628,0,1,1
IN,46701,1,0,2
IN,46703,0,4,1
IN,46705,0,0,1
IN,46706,1,2,6
IN,46710,0,1,0
IN,46713,0,0,1
IN,46714,0,7,5
IN,46721,4,3,4
IN,46723,0,1,0
IN,46725,0,3,2
IN,46732,0,0,1
IN,46733,2,0,2
IN,46738,0,0,3
IN,46740,0,0,2
IN,46742,0,0,1
IN,46747,0,0,1
IN,46748,0,0,1
IN,46750,2,4,1
IN,46755,1,1,3
IN,46761,1,1,0
IN,46767,0,1,0
IN,46774,0,3,0
IN,46776,0,0,1
IN,46778,0,0,1
IN,46783,1,0,1
IN,46789,0,0,1
IN,46795,0,3,1
IN,46796,0,0,1
IN,46802,119,244,42
IN,46805,2,2,2
IN,46806,1,0,1
IN,46808,1,0,2
IN,46809,0,0,1
IN,46818,0,0,1
IN,46835,0,0,1
IN,46862,0,2,0
IN,46901,5,58,8
IN,46902,1,1,0
IN,46923,0,0,2
IN,46926,0,0,2
IN,46933,0,1,6
IN,46938,0,0,1
IN,46941,0,0,1
IN,46947,0,0,4
IN,46952,0,3,1
IN,46953,2,10,3
IN,46958,1,0,0
IN,46965,0,0,1
IN,46970,0,5,7
IN,46971,1,0,0
IN,46974,0,3,0
IN,46975,1,0,1
IN,46992,1,2,3
IN,46994,0,0,1
IN,46996,0,1,0
IN,47001,0,0,3
IN,47006,4,2,0
IN,47025,0,0,5
IN,47041,1,0,0
IN,47060,0,0,1
IN,47108,0,3,0
IN,47110,1,3,0
IN,47111,0,1,1
IN,47112,0,2,10
IN,47117,0,2,0
IN,47119,0,2,0
IN,47122,0,3,0
IN,47126,0,2,0
IN,47129,0,4,4
IN,47130,8,11,16
IN,47150,0,9,5
IN,47150-0000,0,0,1
IN,47161,0,1,0
IN,47164,0,2,0
IN,47167,0,17,0
IN,47170,0,6,3
IN,47172,0,5,3
IN,47201,1,1,4
IN,47202,23,34,17
IN,47228-0110,0,0,1
IN,47236,0,0,1
IN,47240,9,7,6
IN,47243,0,2,1
IN,47246,0,0,1
IN,47250,0,3,2
IN,47265,0,9,5
IN,47274,6,6,24
IN,47282,0,0,1
IN,47283,0,0,1
IN,47302,0,2,0
IN,47303,0,11,3
IN,47304,0,1,0
IN,47305,3,21,4
IN,47320,0,2,5
IN,47331,1,4,3
IN,47334,0,3,2
IN,47346,1,0,0
IN,47359,0,0,2
IN,47362,2,13,5
IN,47366,0,0,1
IN,47371,0,1,2
IN,47374,0,0,7
IN,47375,0,18,9
IN,47380,0,1,0
IN,47384,0,0,1
IN,47385,1,0,0
IN,47390,0,1,0
IN,47394,2,9,0
IN,47403,0,1,0
IN,47404,0,0,2
IN,47407,50,42,28
IN,47408,0,0,1
IN,47421,0,12,2
IN,47424,0,1,0
IN,47429,1,1,0
IN,47438,0,4,0
IN,47441,0,2,0
IN,47446,0,1,1
IN,47448,0,0,1
IN,47454,0,2,0
IN,47460,0,1,1
IN,47471,0,0,1
IN,47501,1,2,1
IN,47520,0,0,2
IN,47522,36,6,2
IN,47523,0,1,0
IN,47528,2,0,1
IN,47532,1,0,2
IN,47542,0,0,2
IN,47546,1,12,1
IN,47547-0270,0,0,1
IN,47562,20,12,0
IN,47567,2,5,1
IN,47586,0,3,0
IN,47591,1,3,1
IN,47601,4,2,2
IN,47620,2,1,2
IN,47630,0,4,1
IN,47635,0,0,1
IN,47665,0,0,1
IN,47670,1,0,2
IN,47708,1,2,0
IN,47710,0,0,1
IN,47713,0,6,0
IN,47714,0,1,1
IN,47715,0,0,6
IN,47720,0,1,0
IN,47725,0,1,0
IN,47734,33,44,30
IN,47802,0,0,1
IN,47804,0,0,1
IN,47807,10,15,13
IN,47834,0,9,2
IN,47842,0,0,2
IN,47848,0,1,0
IN,47861,1,0,1
IN,47872,0,1,0
IN,47882,1,1,0
IN,47901,17,11,17
IN,47905,0,0,2
IN,47909,1,0,1
IN,47923,0,0,1
IN,47928,1,0,0
IN,47933,1,8,11
IN,47955,0,0,1
IN,47960,0,2,2
IN,47966,0,0,4
IN,47967,0,1,0
IN,47977,2,0,0
IN,47978,1,1,1
IN,47980,0,0,2
IN,47993,0,8,0
IN,47996,12,0,0
KS,66002,0,0,1
KS,66006,0,1,0
KS,66007,0,1,0
KS,66012,0,1,3
KS,66018,2,0,0
KS,66020,0,1,0
KS,66021,0,0,1
KS,66025,0,1,0
KS,66027,10,5,2
KS,66030,2,2,2
KS,66031,6,4,3
KS,66032,0,3,0
KS,66035,0,4,0
KS,66042,0,1,0
KS,66043,0,1,0
KS,66044,31,23,22
KS,66045,9,0,1
KS,66048,6,19,14
KS,66049,0,0,1
KS,66052,0,0,1
KS,66053,0,5,1
KS,66061,3,3,1
KS,66062,2,0,4
KS,66063,42,22,19
KS,66064,0,1,0
KS,66067,1,0,5
KS,66071,0,1,2
KS,66080,0,2,0
KS,66083,0,1,0
KS,66086,0,1,1
KS,66090,0,5,0
KS,66094,0,1,0
KS,66101,0,3,1
KS,66102,33,35,42
KS,66103,1,0,0
KS,66105,6,0,0
KS,66106,0,0,2
KS,66111,0,0,1
KS,66112,0,2,0
KS,66113,1,10,3
KS,66115,0,0,2
KS,66202,2,1,3
KS,66203,0,0,1
KS,66204,0,1,0
KS,66205,1,0,0
KS,66208,1,3,0
KS,66210,205,120,40
KS,66211,11,4,1
KS,66213,0,0,3
KS,66214,12,4,4
KS,66215,0,1,4
KS,66216,0,0,1
KS,66217,6,7,0
KS,66219,87,20,20
KS,66222,12,0,2
KS,66224,0,1,0
KS,66227,3,0,2
KS,66401,0,0,1
KS,66434,0,1,0
KS,66436,0,1,0
KS,66439,0,1,0
KS,66441,0,1,2
KS,66442,8,23,18
KS,66451,0,1,0
KS,66502,0,7,4
KS,66521,0,1,0
KS,66531,0,1,0
KS,66533,0,4,0
KS,66546,0,1,0
KS,66547,2,3,5
KS,66603,0,0,3
KS,66606,1,0,0
KS,66609,0,0,1
KS,66610,0,0,1
KS,66611,0,0,1
KS,66612,80,41,30
KS,66614,0,0,2
KS,66615,1,0,0
KS,66618,0,0,3
KS,66621,2,0,0
KS,66701,1,22,3
KS,66720,1,2,2
KS,66725,0,0,1
KS,66733,0,0,1
KS,66736,0,1,0
KS,66739,0,0,1
KS,66757,0,4,1
KS,66762,0,8,5
KS,66763,0,0,2
KS,66776,0,0,2
KS,66801,1,3,6
KS,66839,9,0,3
KS,66846,0,3,1
KS,66967,0,1,0
KS,67002,0,1,1
KS,67005,2,0,0
KS,67009,0,0,1
KS,67010,0,1,0
KS,67037,1,2,0
KS,67042,2,7,10
KS,67052,0,0,1
KS,67056,0,1,0
KS,67058,0,0,1
KS,67060,0,1,0
KS,67062,1,0,0
KS,67107,0,1,0
KS,67110,0,1,2
KS,67114,0,1,1
KS,67117,0,1,0
KS,67147,0,5,0
KS,67150,0,1,0
KS,67156,1,0,7
KS,67202,143,58,73
KS,67203,2,1,2
KS,67205,0,0,1
KS,67206,0,1,0
KS,67207,0,0,1
KS,67208,0,1,0
KS,67209,0,0,3
KS,67210,15,6,12
KS,67211,1,0,1
KS,67213,0,1,13
KS,67214,0,2,1
KS,67216,0,0,1
KS,67217,0,0,6
KS,67219,0,0,2
KS,67221,0,0,2
KS,67260,7,0,0
KS,67277,43,3,4
KS,67301,3,3,1
KS,67335,0,1,1
KS,67337,10,3,2
KS,67344,0,0,1
KS,67357,0,14,4
KS,67401,1,17,19
KS,67402,0,0,1
KS,67410,0,1,3
KS,67437,0,4,0
KS,67439,1,1,0
KS,67458,0,0,1
KS,67460,2,0,5
KS,67467,0,3,0
KS,67487,0,3,0
KS,67490,0,3,1
KS,67501,3,7,14
KS,67502,0,6,0
KS,67505,1,0,4
KS,67522,0,1,1
KS,67530,0,0,1
KS,67548,0,1,0
KS,67550,0,1,0
KS,67601,1,5,5
KS,67637,0,4,0
KS,67654,0,0,1
KS,67665,0,0,1
KS,67672,0,2,0
KS,67701,2,2,3
KS,67730,0,3,0
KS,67735,0,3,2
KS,67756,0,3,1
KS,67801,2,3,8
KS,67846,1,24,3
KS,67851,0,1,8
KS,67855,0,0,1
KS,67879,0,0,1
KS,67905,0,1,4
KS,67951,0,1,0
KY,40004,2,7,1
KY,40006,0,1,1
KY,40010,0,1,2
KY,40031,0,4,0
KY,40033,1,0,1
KY,40047,2,0,0
KY,40050,0,2,0
KY,40056,0,2,0
KY,40066,3,11,7
KY,40070,0,0,1
KY,40108,0,0,3
KY,40109,0,0,1
KY,40118,0,2,2
KY,40121,19,24,15
KY,40155,0,0,2
KY,40160,18,1,3
KY,40165,1,2,7
KY,40202,0,0,1
KY,40203,1,0,0
KY,40206,0,0,1
KY,40208,1,0,0
KY,40209,0,0,1
KY,40220,1,0,0
KY,40290,314,342,121
KY,40299,0,5,1
KY,40311,0,1,0
KY,40324,7,5,4
KY,40330,0,1,1
KY,40336,0,4,0
KY,40337,0,1,1
KY,40342,0,0,1
KY,40351,0,1,2
KY,40353,1,7,5
KY,40356,1,7,5
KY,40359,0,6,0
KY,40361,0,1,0
KY,40383,0,0,1
KY,40392,3,1,1
KY,40403,3,5,1
KY,40423,0,0,1
KY,40456,0,2,0
KY,40476,14,8,9
KY,40484,0,9,2
KY,40508,120,166,39
KY,40604,40,12,18
KY,40701,0,1,0
KY,40741,6,16,2
KY,40769,6,0,0
KY,40906,2,0,0
KY,40939,0,0,1
KY,40965,0,0,1
KY,41001,0,1,3
KY,41005,0,0,2
KY,41008,0,0,1
KY,41011,9,1,2
KY,41017,0,2,6
KY,41018,15,1,7
KY,41031,1,0,2
KY,41040,0,0,1
KY,41042,16,9,24
KY,41045,3,1,4
KY,41048,6,2,13
KY,41056,0,7,1
KY,41071,1,0,0
KY,41072,0,2,2
KY,41076,0,2,2
KY,41094,1,1,4
KY,41095,0,2,0
KY,41097,0,4,1
KY,41101,0,9,1
KY,41102,0,0,1
KY,41139,0,1,0
KY,41143,0,1,1
KY,41144,1,8,0
KY,41169,0,1,2
KY,41175,0,3,0
KY,41179,0,2,0
KY,41230,0,5,2
KY,41240,0,0,1
KY,41311,2,0,0
KY,41339,0,14,0
KY,41502,2,4,0
KY,41649,0,4,0
KY,41702,0,20,0
KY,42002,3,70,7
KY,42023,0,4,0
KY,42025,0,1,0
