state,Zip,1.0,2.0,3.0,4.0,5.0
AL,36203,0,0,11,8,1
AL,36204,0,0,25,32,0
AL,36207,0,0,2,0,0
AL,36251,0,0,4,10,0
AL,36260,0,0,2,3,0
AL,36264,0,0,5,10,0
AL,36265,0,0,6,8,1
AL,36266,0,0,4,9,0
AL,36271,0,0,4,7,0
AL,36274,0,0,6,11,0
AL,36278,0,0,5,7,0
AL,36301,0,0,1,0,0
AL,36302,1,0,39,41,9
AL,36310,0,0,3,3,0
AL,36312,0,0,3,3,0
AL,36319,0,0,4,4,0
AL,36322,0,0,4,3,0
AL,36330,0,0,4,0,0
AL,36331,0,0,22,15,1
AL,36340,0,0,5,3,0
AL,36344,0,0,1,1,0
AL,36345,0,0,4,3,0
AL,36360,0,0,2,0,0
AL,36361,0,1,3,3,0
AL,36362,0,0,22,6,4
AL,36375,0,0,3,3,0
AL,36420,0,0,3,0,0
AL,36421,0,0,1,3,2
AL,36426,0,2,1,2,0
AL,36441,0,1,1,1,0
AL,36442,0,0,3,3,0
AL,36451,0,1,2,1,0
AL,36460,0,1,2,1,0
AL,36467,0,0,2,7,0
AL,36502,0,1,1,1,0
AL,36505,0,0,1,2,0
AL,36507,0,2,3,1,0
AL,36509,0,1,1,1,0
AL,36512,0,1,1,2,0
AL,36513,0,0,1,0,0
AL,36522,0,1,1,1,0
AL,36526,0,1,2,1,0
AL,36530,0,0,1,0,0
AL,36532,0,0,0,1,1
AL,36533,0,1,0,0,0
AL,36535,0,0,5,0,0
AL,36536,0,0,13,12,0
AL,36542,0,0,1,0,0
AL,36544,0,1,1,1,0
AL,36545,0,2,3,3,0
AL,36547,0,0,2,0,2
AL,36559,0,0,0,2,0
AL,36561,0,0,1,0,0
AL,36567,0,0,2,0,0
AL,36571,0,1,1,1,1
AL,36575,0,0,0,0,1
AL,36590,0,1,2,3,0
AL,36604,0,0,0,1,0
AL,36606,0,1,3,2,0
AL,36607,3,12,116,44,5
AL,36608,0,0,1,0,0
AL,36609,0,0,3,0,0
AL,36610,0,1,1,1,0
AL,36615,0,0,1,0,0
AL,36652,0,0,0,2,0
AL,36701,0,0,5,3,4
AL,36702,0,0,1,0,0
AL,36726,0,0,3,3,1
AL,36732,0,0,5,0,0
AL,36748,0,0,1,0,0
AL,36756,0,0,3,3,0
AL,36769,0,0,2,1,0
AL,36784,0,1,2,1,0
AL,36786,0,0,1,0,0
AL,36801,0,0,1,0,1
AL,36803,0,11,9,2,2
AL,36830,0,2,12,9,1
AL,36832,0,1,1,2,0
AL,36851,0,1,1,2,0
AL,36853,0,0,3,3,0
AL,36854,0,0,3,3,0
AL,36863,0,0,3,3,0
AL,36870,0,0,15,4,2
AL,36872,0,1,5,4,1
AL,36874,0,0,3,3,0
AL,36877,0,0,3,3,0
AL,50021,0,0,1,0,0
AR,71601,0,0,1,1,0
AR,71603,0,0,15,6,3
AR,71630,0,0,1,0,0
AR,71635,0,0,0,1,0
AR,71643,0,0,1,1,0
AR,71644,0,0,2,4,0
AR,71651,0,0,1,0,0
AR,71653,0,0,2,0,0
AR,71654,0,0,1,0,0
AR,71655,0,0,1,0,0
AR,71657,0,0,0,1,0
AR,71665,0,2,0,2,0
AR,71701,0,0,1,1,0
AR,71711,0,0,3,5,0
AR,71730,0,0,5,0,0
AR,71731,0,0,7,19,1
AR,71742,0,0,0,0,1
AR,71744,0,0,0,2,0
AR,71754,0,0,2,2,0
AR,71801,0,0,4,4,0
AR,71802,0,0,1,0,0
AR,71822,0,0,2,0,1
AR,71832,0,0,3,0,0
AR,71833,0,0,1,0,0
AR,71836,0,0,1,0,0
AR,71852,0,0,3,1,1
AR,71854,1,0,8,1,1
AR,71901,0,0,2,0,0
AR,71909,0,0,4,1,0
AR,71913,0,0,3,0,0
AR,71914,0,0,20,37,2
AR,71923,1,0,5,1,0
AR,71929,0,0,1,0,0
AR,71940,0,0,0,1,0
AR,71941,0,0,1,0,0
AR,71949,0,0,3,0,0
AR,71950,0,0,1,0,0
AR,71953,0,0,4,0,0
AR,71957,0,0,0,0,1
AR,71958,0,0,0,1,0
AR,71999,0,0,0,0,1
AR,72002,0,1,1,0,0
AR,72015,0,0,3,2,1
AR,72018,0,0,2,0,0
AR,72022,0,0,2,0,2
AR,72023,0,1,2,0,0
AR,72032,0,0,0,2,0
AR,72033,0,0,1,0,0
AR,72034,0,0,12,12,1
AR,72039,0,1,1,0,0
AR,72042,0,0,1,0,0
AR,72058,0,0,0,2,0
AR,72076,0,0,12,2,3
AR,72079,0,0,0,1,1
AR,72086,0,0,3,0,1
AR,72099,0,0,1,1,0
AR,72104,0,0,4,0,2
AR,72106,0,0,1,0,0
AR,72110,0,0,1,1,0
AR,72112,0,0,0,1,0
AR,72113,0,0,7,10,0
AR,72114,0,1,1,0,0
AR,72117,0,0,0,0,2
AR,72120,0,0,1,2,0
AR,72143,0,0,2,1,0
AR,72145,0,0,9,2,0
AR,72150,0,0,1,0,0
AR,72160,0,1,0,5,0
AR,72168,0,0,2,0,0
AR,72183,0,0,1,1,0
AR,72190,0,0,12,25,2
AR,72201,0,0,4,2,0
AR,72204,0,0,2,0,0
AR,72205,0,6,180,261,44
AR,72206,0,0,2,0,0
AR,72209,0,1,6,0,0
AR,72211,0,0,1,3,0
AR,72212,0,0,1,1,2
AR,72219,0,0,1,0,0
AR,72231,0,0,0,1,0
AR,72303,0,1,13,4,0
AR,72315,0,0,1,1,0
AR,72316,0,0,3,3,0
AR,72324,0,0,1,0,0
AR,72335,0,0,1,0,0
AR,72336,0,0,3,4,0
AR,72341,0,0,1,0,0
AR,72342,0,0,2,4,3
AR,72358,0,0,1,0,0
AR,72364,0,1,0,0,1
AR,72370,0,2,10,3,0
AR,72373,0,0,1,0,0
AR,72386,0,0,1,0,0
AR,72390,0,0,0,0,1
AR,72394,0,0,1,0,0
AR,72396,0,0,1,0,0
AR,72401,0,6,40,47,6
AR,72404,0,0,3,0,0
AR,72422,0,0,2,2,0
AR,72432,0,0,2,0,0
AR,72450,0,0,5,1,0
AR,72455,0,0,1,2,0
AR,72501,0,0,1,2,0
AR,72519,0,0,0,1,0
AR,72543,0,0,1,2,0
AR,72562,0,0,0,0,1
AR,72576,0,0,2,2,0
AR,72602,0,0,1,3,1
AR,72616,0,0,1,1,0
AR,72632,0,0,3,2,0
AR,72638,0,0,3,0,0
AR,72650,0,0,2,0,0
AR,72651,0,0,1,0,0
AR,72653,0,0,2,0,0
AR,72654,0,0,5,9,4
AR,72701,0,0,3,3,0
AR,72702,0,1,39,30,34
AR,72704,0,0,2,0,0
AR,72712,0,4,68,170,7
AR,72715,0,0,1,1,1
AR,72719,0,0,0,1,0
AR,72741,0,0,3,12,0
AR,72745,0,0,13,17,2
AR,72756,0,0,7,11,1
AR,72758,0,1,24,17,3
AR,72761,0,0,3,9,1
AR,72762,0,0,1,0,0
AR,72764,0,0,3,0,2
AR,72765,0,0,1,0,0
AR,72766,2,1,32,25,4
AR,72801,0,0,1,0,0
AR,72811,0,0,8,5,1
AR,72830,0,2,3,0,0
AR,72833,0,0,0,1,0
AR,72834,0,0,6,0,0
AR,72863,0,0,4,0,0
AR,72901,0,0,1,0,0
AR,72902,0,1,3,0,0
AR,72903,0,0,58,53,7
AR,72905,0,0,5,2,0
AR,72913,0,0,0,1,0
AR,72923,0,0,1,1,0
AR,72927,0,0,1,0,1
AR,72933,0,0,1,0,0
AR,72936,0,0,0,1,0
AR,72946,0,0,1,0,0
AR,72949,0,0,3,0,1
AR,72956,0,0,1,4,0
AZ,85001,0,0,4,2,0
AZ,85003,0,3,5,1,0
AZ,85008,0,0,0,5,0
AZ,85009,0,1,2,0,0
AZ,85014,0,0,1,3,0
AZ,85015,0,0,1,0,0
AZ,85021,0,0,1,0,0
AZ,85027,0,0,0,1,0
AZ,85032,0,1,0,0,0
AZ,85034,0,0,0,2,0
AZ,85040,0,0,1,2,0
AZ,85042,0,0,1,0,0
AZ,85053,0,0,1,3,0
AZ,85067,0,9,685,1113,153
AZ,85086,0,0,0,1,0
AZ,85117,0,0,2,1,1
AZ,85121,0,1,0,0,0
AZ,85122,0,0,1,0,0
AZ,85128,0,0,1,0,0
AZ,85131,0,0,6,5,1
AZ,85132,0,0,6,5,2
AZ,85138,0,0,2,0,0
AZ,85140,0,0,1,9,0
AZ,85142,0,0,6,1,1
AZ,85193,0,0,17,20,2
AZ,85210,0,0,4,0,0
AZ,85213,0,2,80,113,10
AZ,85250,0,0,1,0,0
AZ,85258,0,0,119,289,55
AZ,85264,0,1,0,0,0
AZ,85268,0,0,2,1,1
AZ,85281,0,0,1,0,0
AZ,85282,0,0,85,126,16
AZ,85283,0,1,1,0,0
AZ,85284,0,0,0,2,0
AZ,85286,0,1,92,201,11
AZ,85295,0,2,18,59,11
AZ,85302,0,0,0,1,0
AZ,85304,0,1,43,79,6
AZ,85309,0,0,4,6,0
AZ,85321,0,0,0,0,1
AZ,85327,0,0,1,0,0
AZ,85335,0,0,2,1,0
AZ,85338,0,0,10,2,2
AZ,85339,0,0,6,2,0
AZ,85340,0,0,0,0,1
AZ,85344,0,0,4,1,1
AZ,85349,0,0,1,0,0
AZ,85353,0,0,7,1,1
AZ,85356,0,0,2,0,0
AZ,85361,0,0,2,0,0
AZ,85363,0,0,3,0,0
AZ,85364,0,0,4,0,1
AZ,85365,0,0,8,8,0
AZ,85366,0,0,15,23,8
AZ,85372,0,0,4,17,4
AZ,85375,0,0,7,45,2
AZ,85379,0,1,8,7,2
AZ,85381,0,0,20,8,0
AZ,85390,0,0,1,0,0
AZ,85392,0,0,5,3,3
AZ,85396,0,0,4,0,0
AZ,85501,0,0,0,4,1
AZ,85539,0,0,2,1,0
AZ,85541,0,0,6,12,0
AZ,85543,0,0,0,1,0
AZ,85546,0,0,0,2,1
AZ,85550,0,0,1,1,0
AZ,85602,0,0,1,1,0
AZ,85603,0,0,1,0,0
AZ,85607,0,0,0,0,3
AZ,85613,0,0,1,0,0
AZ,85614,0,0,0,0,1
AZ,85615,0,0,1,0,0
AZ,85621,0,1,2,2,3
AZ,85634,0,0,2,1,0
AZ,85635,0,0,182,133,7
AZ,85640,0,0,1,0,0
AZ,85658,0,0,9,3,0
AZ,85670,0,0,9,48,6
AZ,85702,0,4,189,340,72
AZ,85705,0,0,1,0,0
AZ,85707,0,0,6,3,1
AZ,85710,0,0,0,1,0
AZ,85737,0,0,5,16,2
AZ,85756,0,0,1,0,0
AZ,85901,0,0,5,8,2
AZ,85911,0,0,0,0,1
AZ,85938,0,0,2,0,0
AZ,85939,0,0,1,0,1
AZ,85941,0,0,8,0,5
AZ,86001,0,0,12,11,4
AZ,86015,0,1,1,0,0
AZ,86022,0,0,1,0,0
AZ,86023,0,1,2,2,0
AZ,86032,0,0,1,0,0
AZ,86033,0,0,3,0,0
AZ,86040,0,0,3,4,1
AZ,86042,0,0,1,1,2
AZ,86046,0,0,3,0,0
AZ,86047,0,0,1,0,0
AZ,86301,0,0,2,2,1
AZ,86304,0,0,5,15,4
AZ,86314,0,0,2,5,1
AZ,86321,0,0,0,0,1
AZ,86322,0,0,1,0,1
AZ,86323,0,0,0,0,1
AZ,86326,0,0,1,0,3
AZ,86331,0,0,0,1,0
AZ,86337,0,0,1,0,0
AZ,86402,0,0,1,0,0
AZ,86405,0,0,1,3,2
AZ,86409,0,0,9,4,0
AZ,86413,0,0,3,3,3
AZ,86427,0,0,0,1,0
AZ,86439,0,0,4,5,3
AZ,86442,0,0,1,0,0
AZ,86503,0,0,7,5,1
AZ,86504,0,0,4,6,0
AZ,86510,0,0,0,0,1
AZ,86511,0,0,1,0,0
AZ,86515,0,0,0,1,0
CA,15201,0,0,0,1,1
CA,90001,0,1,2,0,0
CA,90004,0,0,1,0,0
CA,90006,0,5,484,1003,256
CA,90010,0,0,1,0,0
CA,90011,0,0,1,0,0
CA,90012,0,0,1,0,0
CA,90013,0,0,8,2,0
CA,90017,0,0,0,3,0
CA,90022,0,0,2,0,0
CA,90025,0,0,6,2,0
CA,90027,0,0,1,0,0
CA,90032,0,0,0,0,3
CA,90034,0,0,1,0,0
CA,90040,0,0,1,0,0
CA,90041,0,0,1,0,0
CA,90042,0,0,1,0,0
CA,90045,0,0,2,0,0
CA,90058,0,0,6,4,1
CA,90061,0,0,0,13,5
CA,90065,0,0,1,0,0
CA,90066,0,0,1,1,0
CA,90067,0,0,0,1,0
CA,90069,0,0,3,5,0
CA,90071,0,0,2,1,0
CA,90078,0,0,7,4,2
CA,90091,0,0,6,3,0
CA,90201,0,0,1,0,0
